case_id,operator,spectral_resolution,top1_hit,top5_hit,reciprocal_rank,tie_group_size,executed_transition_count
case_000915,wrong_source,0.12,False,True,0.5,1,75
case_000916,wrong_event,0.032,False,False,0.111111,1,250
case_000920,guard_flip,0.048193,False,False,0.00813,1,249
case_000921,guard_weaken,0.375,True,True,1.0,11,8
case_000922,guard_strengthen,0.2,False,False,0.083333,1,20
case_000933,wrong_target,0.444444,True,True,1.0,1,9
case_000934,wrong_source,0.206897,False,False,0.041667,1,29
case_000935,wrong_event,0.077922,False,False,0.029412,1,77
case_000939,guard_flip,0.093333,False,False,0.033333,1,75
case_000940,guard_weaken,0.044177,False,False,0.005556,1,249
case_000941,guard_strengthen,0.555556,False,False,0.111111,1,9
case_000952,wrong_target,0.052,True,True,1.0,1,250
case_000953,wrong_source,0.272727,False,True,0.2,1,11
case_000954,wrong_event,0.185185,False,False,0.032258,1,27
case_000958,guard_flip,0.241379,False,False,0.071429,1,29
case_000959,guard_weaken,0.101266,False,False,0.022727,1,79
case_000960,guard_strengthen,0.044177,False,False,0.007407,1,249
case_000971,wrong_target,0.1,True,True,1.0,1,80
case_000972,wrong_source,0.044,False,False,0.004255,1,250
case_000973,wrong_event,0.4,False,True,0.25,1,10
case_000977,guard_flip,0.571429,False,False,0.1,1,7
case_000978,guard_weaken,0.2,False,False,0.090909,1,30
case_000979,guard_strengthen,0.068182,True,True,1.0,81,44
case_000990,wrong_target,0.25,True,True,1.0,1,24
case_000991,wrong_source,0.088608,False,False,0.012658,1,79
case_000992,wrong_event,0.038462,False,False,0.004184,1,234
case_000996,guard_flip,0.044177,False,False,0.028571,1,249
case_000997,guard_weaken,0.4,False,False,0.111111,1,10
case_000998,guard_strengthen,0.185185,False,False,0.043478,31,27
case_001005,guard_inter_class,0.272727,False,False,0.125,1,11
case_001009,wrong_target,0.454545,True,True,1.0,1,11
case_001010,wrong_source,0.185185,False,False,0.04,1,27
case_001011,wrong_event,0.101266,False,False,0.013889,1,79
case_001015,guard_flip,0.1,False,False,0.018519,1,80
case_001016,guard_weaken,0.048,False,False,0.004651,1,250
case_001017,guard_strengthen,0.555556,False,False,0.111111,1,9
case_001028,wrong_target,0.044715,True,True,1.0,1,246
case_001029,wrong_source,0.444444,False,False,0.142857,1,9
case_001030,wrong_event,0.206897,False,False,0.066667,1,29
case_001034,guard_flip,0.2,False,False,0.043478,1,30
case_001035,guard_weaken,0.113924,False,False,0.023256,1,79
case_001036,guard_strengthen,0.040984,False,False,0.018519,1,244
case_001043,guard_inter_class,0.1,False,False,0.025,1,80
case_001047,wrong_target,0.111111,True,True,1.0,1,81
case_001048,wrong_source,0.041841,False,False,0.00495,1,239
case_001049,wrong_event,0.428571,False,False,0.166667,1,7
case_001053,guard_flip,0.555556,False,False,0.125,1,9
case_001054,guard_weaken,0.153846,False,False,0.043478,1,26
case_001055,guard_strengthen,0.101266,False,False,0.015385,1,79
case_001066,wrong_target,0.193548,True,True,1.0,1,31
case_001067,wrong_source,0.0875,False,False,0.033333,1,80
case_001068,wrong_event,0.048035,False,False,0.004167,1,229
case_001072,guard_flip,0.048,False,False,0.012821,1,250
case_001073,guard_weaken,0.4,False,True,0.25,1,10
case_001074,guard_strengthen,0.172414,False,False,0.043478,1,29
case_001085,wrong_target,0.444444,True,True,1.0,1,9
case_001086,wrong_source,0.206897,False,False,0.043478,1,29
case_001087,wrong_event,0.1125,False,False,0.016949,1,80
case_001091,guard_flip,0.092105,False,False,0.012821,1,76
case_001092,guard_weaken,0.040816,False,False,0.0625,1,245
case_001093,guard_strengthen,0.444444,False,False,0.111111,1,9
case_001104,wrong_target,0.047809,True,True,1.0,1,251
case_001105,wrong_source,0.428571,False,False,0.166667,1,7
case_001106,wrong_event,0.206897,False,False,0.045455,1,29
case_001110,guard_flip,0.241379,False,False,0.04,1,29
case_001111,guard_weaken,0.101266,False,False,0.037037,1,79
case_001112,guard_strengthen,0.048193,False,False,0.016393,1,249
case_001123,wrong_target,0.111111,True,True,1.0,1,81
case_001124,wrong_source,0.043651,True,True,1.0,1,252
