mutation_operator,partition,gt_mode,cohort_cases,detectable_cases,skipped_cases,evaluated_cases,not_ranked_count,top1_hits,top3_hits,top5_hits,top1_hit_rate,top3_hit_rate,top5_hit_rate,mrr
nondeterminism_intro,all_cohort,primary,59,0,59,0,0,0,0,0,0.0,0.0,0.0,0.0
nondeterminism_intro,all_detectable,primary,59,0,59,0,0,0,0,0,0.0,0.0,0.0,0.0
nondeterminism_intro,all_detectable,alternative,59,0,59,0,0,0,0,0,0.0,0.0,0.0,0.0
nondeterminism_intro,transition_localizable_gt,primary,59,0,59,0,0,0,0,0,0.0,0.0,0.0,0.0
nondeterminism_intro,alternative_gt,alternative,59,0,59,0,0,0,0,0,0.0,0.0,0.0,0.0
timeout_corruption,all_cohort,primary,59,0,59,0,0,0,0,0,0.0,0.0,0.0,0.0
timeout_corruption,all_detectable,primary,59,0,59,0,0,0,0,0,0.0,0.0,0.0,0.0
timeout_corruption,all_detectable,alternative,59,0,59,0,0,0,0,0,0.0,0.0,0.0,0.0
timeout_corruption,transition_localizable_gt,primary,59,0,59,0,0,0,0,0,0.0,0.0,0.0,0.0
timeout_corruption,alternative_gt,alternative,59,0,59,0,0,0,0,0,0.0,0.0,0.0,0.0
unreachable_state_intro,all_cohort,primary,59,0,59,0,0,0,0,0,0.0,0.0,0.0,0.0
unreachable_state_intro,all_detectable,primary,59,0,59,0,0,0,0,0,0.0,0.0,0.0,0.0
unreachable_state_intro,all_detectable,alternative,59,0,59,0,0,0,0,0,0.0,0.0,0.0,0.0
unreachable_state_intro,transition_localizable_gt,primary,59,0,59,0,0,0,0,0,0.0,0.0,0.0,0.0
unreachable_state_intro,alternative_gt,alternative,59,0,59,0,0,0,0,0,0.0,0.0,0.0,0.0
wrong_event,all_cohort,primary,59,59,0,0,0,0,0,0,0.0,0.0,0.0,0.0
wrong_event,all_detectable,primary,59,59,0,59,0,1,7,13,0.016949,0.118644,0.220339,0.116266
wrong_event,all_detectable,alternative,59,59,0,59,0,1,7,13,0.016949,0.118644,0.220339,0.116265
wrong_event,transition_localizable_gt,primary,59,59,0,59,0,1,7,13,0.016949,0.118644,0.220339,0.116266
wrong_event,alternative_gt,alternative,59,59,0,59,0,1,7,13,0.016949,0.118644,0.220339,0.116265
wrong_initial_state,all_cohort,primary,59,59,0,0,0,0,0,0,0.0,0.0,0.0,0.0
wrong_initial_state,all_detectable,primary,59,59,0,59,59,0,0,0,0.0,0.0,0.0,0.0
wrong_initial_state,all_detectable,alternative,59,59,0,59,0,49,53,53,0.830508,0.898305,0.898305,0.867684
wrong_initial_state,transition_localizable_gt,primary,59,59,0,0,0,0,0,0,0.0,0.0,0.0,0.0
wrong_initial_state,alternative_gt,alternative,59,59,0,59,0,49,53,53,0.830508,0.898305,0.898305,0.867684
wrong_source,all_cohort,primary,60,60,0,0,0,0,0,0,0.0,0.0,0.0,0.0
wrong_source,all_detectable,primary,60,60,0,60,2,7,10,12,0.116667,0.166667,0.2,0.184763
wrong_source,all_detectable,alternative,60,60,0,60,2,7,10,12,0.116667,0.166667,0.2,0.184763
wrong_source,transition_localizable_gt,primary,60,60,0,60,2,7,10,12,0.116667,0.166667,0.2,0.184763
wrong_source,alternative_gt,alternative,60,60,0,60,2,7,10,12,0.116667,0.166667,0.2,0.184763
wrong_target,all_cohort,primary,60,60,0,0,0,0,0,0,0.0,0.0,0.0,0.0
wrong_target,all_detectable,primary,60,60,0,60,0,60,60,60,1.0,1.0,1.0,1.0
wrong_target,all_detectable,alternative,60,60,0,60,0,60,60,60,1.0,1.0,1.0,1.0
wrong_target,transition_localizable_gt,primary,60,60,0,60,0,60,60,60,1.0,1.0,1.0,1.0
wrong_target,alternative_gt,alternative,60,60,0,60,0,60,60,60,1.0,1.0,1.0,1.0
