campaign,release_label,construct,metric,partition,subgroup,n_cases,value,ci95_low,ci95_high
RQ3-localization-ochiai-1k,RQ3-localization-ochiai-1k,localization,mrr,transition_localizable_gt,structural_diff,376,0.994681,0.986702,1.0
RQ4-higher-order-coupling-250,RQ4-higher-order-coupling-250,detection,detection_rate,cohort_wide,order_1,250,0.472,0.412,0.536
RQ4-higher-order-coupling-250,RQ4-higher-order-coupling-250,repair,complete_repair_rate,cohort_wide,order_1,250,0.892,0.852,0.928
RQ4-higher-order-coupling-250,RQ4-higher-order-coupling-250,repair,effective_repair_rate,cohort_wide,order_1,250,0.42,0.36,0.484
RQ4-higher-order-coupling-250,RQ4-higher-order-coupling-250,repair,mean_bpr_delta,cohort_wide,order_1,250,0.0677,0.041874,0.096662
RQ4-higher-order-coupling-250,RQ4-higher-order-coupling-250,repair,complete_repair_rate,detectable_only,order_1,118,0.771186,0.694915,0.847458
RQ4-higher-order-coupling-250,RQ4-higher-order-coupling-250,repair,effective_repair_rate,detectable_only,order_1,118,0.889831,0.830508,0.940678
RQ4-higher-order-coupling-250,RQ4-higher-order-coupling-250,repair,mean_bpr_delta,detectable_only,order_1,118,0.143432,0.091786,0.200682
RQ4-higher-order-coupling-250,RQ4-higher-order-coupling-250,detection,detection_rate,cohort_wide,order_2,250,0.992,0.98,1.0
RQ4-higher-order-coupling-250,RQ4-higher-order-coupling-250,repair,complete_repair_rate,cohort_wide,order_2,250,0.6,0.54,0.66
RQ4-higher-order-coupling-250,RQ4-higher-order-coupling-250,repair,effective_repair_rate,cohort_wide,order_2,250,0.92,0.884,0.952
RQ4-higher-order-coupling-250,RQ4-higher-order-coupling-250,repair,mean_bpr_delta,cohort_wide,order_2,250,0.267039,0.220809,0.315454
RQ4-higher-order-coupling-250,RQ4-higher-order-coupling-250,repair,complete_repair_rate,detectable_only,order_2,248,0.596774,0.53629,0.657258
RQ4-higher-order-coupling-250,RQ4-higher-order-coupling-250,repair,effective_repair_rate,detectable_only,order_2,248,0.927419,0.895161,0.959677
RQ4-higher-order-coupling-250,RQ4-higher-order-coupling-250,repair,mean_bpr_delta,detectable_only,order_2,248,0.269193,0.223169,0.317398
RQ4-higher-order-coupling-250,RQ4-higher-order-coupling-250,detection,detection_rate,cohort_wide,order_3,250,1.0,1.0,1.0
RQ4-higher-order-coupling-250,RQ4-higher-order-coupling-250,repair,complete_repair_rate,cohort_wide,order_3,250,0.404,0.344,0.464
RQ4-higher-order-coupling-250,RQ4-higher-order-coupling-250,repair,effective_repair_rate,cohort_wide,order_3,250,0.98,0.96,0.996
RQ4-higher-order-coupling-250,RQ4-higher-order-coupling-250,repair,mean_bpr_delta,cohort_wide,order_3,250,0.388064,0.335051,0.441553
RQ4-higher-order-coupling-250,RQ4-higher-order-coupling-250,repair,complete_repair_rate,detectable_only,order_3,250,0.404,0.344,0.464
RQ4-higher-order-coupling-250,RQ4-higher-order-coupling-250,repair,effective_repair_rate,detectable_only,order_3,250,0.98,0.96,0.996
RQ4-higher-order-coupling-250,RQ4-higher-order-coupling-250,repair,mean_bpr_delta,detectable_only,order_3,250,0.388064,0.335051,0.441553
RQ4-higher-order-coupling-250,RQ4-higher-order-coupling-250,detection,detection_rate,cohort_wide,fo_subset,250,0.472,0.412,0.536
RQ4-higher-order-coupling-250,RQ4-higher-order-coupling-250,detection,detection_rate,cohort_wide,ho_orders_2_3,500,0.996,0.99,1.0
