dimension,value,planned_cases,realised_cases,cohort_fraction,realisation_ratio,planned_in_yaml,realised_in_cohort,status,coverage_note
bug_type,delay_corruption,50,59,0.059,1.18,True,True,met_or_exceeded,Plan quota met or exceeded on matching keys
bug_type,duplicate_transition,50,59,0.059,1.18,True,True,met_or_exceeded,Plan quota met or exceeded on matching keys
bug_type,guard_flip,100,59,0.059,0.59,True,True,underfilled,Partial plan-cell realisation
bug_type,guard_inter_class,0,53,0.053,1.0,False,True,realised_not_planned,Observed in cohort but not declared in YAML plan cells
bug_type,guard_strengthen,50,59,0.059,1.18,True,True,met_or_exceeded,Plan quota met or exceeded on matching keys
bug_type,guard_weaken,50,59,0.059,1.18,True,True,met_or_exceeded,Plan quota met or exceeded on matching keys
bug_type,missing_transition,150,60,0.06,0.4,True,True,underfilled,Partial plan-cell realisation
bug_type,nondeterminism_intro,50,59,0.059,1.18,True,True,met_or_exceeded,Plan quota met or exceeded on matching keys
bug_type,timeout_corruption,50,59,0.059,1.18,True,True,met_or_exceeded,Plan quota met or exceeded on matching keys
bug_type,unreachable_state_intro,50,59,0.059,1.18,True,True,met_or_exceeded,Plan quota met or exceeded on matching keys
bug_type,wrong_event,50,59,0.059,1.18,True,True,met_or_exceeded,Plan quota met or exceeded on matching keys
bug_type,wrong_initial_state,50,59,0.059,1.18,True,True,met_or_exceeded,Plan quota met or exceeded on matching keys
bug_type,wrong_source,50,60,0.06,1.2,True,True,met_or_exceeded,Plan quota met or exceeded on matching keys
bug_type,wrong_target,150,60,0.06,0.4,True,True,underfilled,Partial plan-cell realisation
