case_id,reference_fsm_id,faulty_fsm_id,complexity,state_count,transition_count,event_count,mutation_operator,difficulty_score,oracle_state_coverage,oracle_transition_coverage,oracle_event_coverage,reference_bpr,faulty_bpr,bpr_delta,valid_reference,valid_faulty,status
case_000088,synthetic_131_50_15,synthetic_131_50_15__faulty__timeout_corruption__88043,very_large,50,250,15,timeout_corruption,61.230000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,True,True,completed
case_000089,synthetic_132_5_3,synthetic_132_5_3__faulty__delay_corruption__89043,small,5,10,3,delay_corruption,14.350000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,True,True,completed
case_000090,synthetic_133_10_5,synthetic_133_10_5__faulty__nondeterminism_intro__90043,medium,10,30,5,nondeterminism_intro,22.580000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,True,False,completed
case_000091,synthetic_134_20_10,synthetic_134_20_10__faulty__unreachable_state_intro__91043,large,20,80,10,unreachable_state_intro,36.650000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,True,True,completed
case_000092,,,very_large,0,0,0,variable_intra_class,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,failed: Could not apply operator 'variable_intra_class' for case 92: variable_intra_class requires at least one FSM variable
case_000093,synthetic_136_5_3,synthetic_136_5_3__faulty__guard_inter_class__93043,small,5,10,3,guard_inter_class,14.500000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,True,True,completed
case_000094,synthetic_137_10_5,synthetic_137_10_5__faulty__action_full_mutation__94043,medium,10,30,5,action_full_mutation,21.020000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,True,True,completed
case_000095,,,large,0,0,0,timed_selective_mutation,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,failed: Could not apply operator 'timed_selective_mutation' for case 95: timed_selective_mutation requires timed transitions
case_000096,synthetic_139_50_15,synthetic_139_50_15__faulty__missing_transition__96043,very_large,50,250,15,missing_transition,60.620000,1.000000,1.000000,1.000000,1.000000,0.998876,0.001124,True,True,completed
case_000097,synthetic_140_5_3,synthetic_140_5_3__faulty__wrong_target__97043,small,5,10,3,wrong_target,14.950000,1.000000,1.000000,1.000000,1.000000,0.791667,0.208333,True,True,completed
case_000098,synthetic_141_10_5,synthetic_141_10_5__faulty__wrong_source__98043,medium,10,30,5,wrong_source,21.150000,1.000000,1.000000,1.000000,1.000000,0.988095,0.011905,True,True,completed
case_000099,synthetic_142_20_10,synthetic_142_20_10__faulty__wrong_event__99043,large,20,80,10,wrong_event,30.620000,1.000000,1.000000,1.000000,1.000000,0.995614,0.004386,True,True,completed
case_000100,synthetic_143_50_15,synthetic_143_50_15__faulty__wrong_initial_state__100043,very_large,50,255,15,wrong_initial_state,61.950000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,True,True,completed
case_000101,synthetic_144_5_3,synthetic_144_5_3__faulty__duplicate_transition__101043,small,5,10,3,duplicate_transition,12.550000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,True,False,completed
case_000102,synthetic_145_10_5,synthetic_145_10_5__faulty__dead_state_intro__102043,medium,10,32,5,dead_state_intro,21.780000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,True,True,completed
case_000103,synthetic_146_20_10,synthetic_146_20_10__faulty__guard_flip__103043,large,20,80,10,guard_flip,32.180000,1.000000,1.000000,1.000000,1.000000,0.995763,0.004237,True,True,completed
case_000104,synthetic_147_50_15,synthetic_147_50_15__faulty__guard_weaken__104043,very_large,50,250,15,guard_weaken,58.280000,1.000000,1.000000,1.000000,1.000000,0.969591,0.030409,True,True,completed
case_000105,synthetic_148_5_3,synthetic_148_5_3__faulty__guard_strengthen__105043,small,5,10,3,guard_strengthen,13.000000,1.000000,1.000000,1.000000,1.000000,0.954545,0.045455,True,True,completed
case_000106,synthetic_149_10_5,synthetic_149_10_5__faulty__action_corruption__106043,medium,10,32,5,action_corruption,22.530000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,True,True,completed
case_000107,synthetic_150_20_10,synthetic_150_20_10__faulty__timeout_corruption__107043,large,20,80,10,timeout_corruption,31.400000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,True,True,completed
case_000108,synthetic_151_50_15,synthetic_151_50_15__faulty__delay_corruption__108043,very_large,50,250,15,delay_corruption,58.990000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,True,True,completed
case_000109,synthetic_152_5_3,synthetic_152_5_3__faulty__nondeterminism_intro__109043,small,5,12,3,nondeterminism_intro,14.460000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,True,False,completed
case_000110,synthetic_153_10_5,synthetic_153_10_5__faulty__unreachable_state_intro__110043,medium,10,30,5,unreachable_state_intro,21.830000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,True,True,completed
case_000111,,,large,0,0,0,variable_intra_class,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,failed: Could not apply operator 'variable_intra_class' for case 111: variable_intra_class requires at least one FSM variable
case_000112,synthetic_155_50_15,synthetic_155_50_15__faulty__guard_inter_class__112043,very_large,50,253,15,guard_inter_class,59.660000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,True,True,completed
case_000113,synthetic_156_5_3,synthetic_156_5_3__faulty__action_full_mutation__113043,small,5,11,3,action_full_mutation,12.980000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,True,True,completed
case_000114,,,medium,0,0,0,timed_selective_mutation,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,failed: Could not apply operator 'timed_selective_mutation' for case 114: timed_selective_mutation requires timed transitions
case_000115,synthetic_158_20_10,synthetic_158_20_10__faulty__missing_transition__115043,large,20,82,10,missing_transition,31.870000,1.000000,1.000000,1.000000,1.000000,0.995495,0.004505,True,True,completed
case_000116,synthetic_159_50_15,synthetic_159_50_15__faulty__wrong_target__116043,very_large,50,251,15,wrong_target,58.340000,1.000000,1.000000,1.000000,1.000000,0.998867,0.001133,True,True,completed
case_000117,synthetic_160_5_3,synthetic_160_5_3__faulty__wrong_source__117043,small,5,10,3,wrong_source,13.000000,1.000000,1.000000,1.000000,1.000000,0.772727,0.227273,True,True,completed
case_000118,synthetic_161_10_5,synthetic_161_10_5__faulty__wrong_event__118043,medium,10,30,5,wrong_event,21.770000,1.000000,1.000000,1.000000,1.000000,0.987179,0.012821,True,True,completed
case_000119,synthetic_162_20_10,synthetic_162_20_10__faulty__wrong_initial_state__119043,large,20,80,10,wrong_initial_state,32.240000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,True,True,completed
case_000120,synthetic_163_50_15,synthetic_163_50_15__faulty__duplicate_transition__120043,very_large,50,253,15,duplicate_transition,57.510000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,True,False,completed
case_000121,synthetic_164_5_3,synthetic_164_5_3__faulty__dead_state_intro__121043,small,5,10,3,dead_state_intro,13.300000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,True,True,completed
case_000122,synthetic_165_10_5,synthetic_165_10_5__faulty__guard_flip__122043,medium,10,31,5,guard_flip,22.610000,1.000000,1.000000,1.000000,1.000000,0.987952,0.012048,True,True,completed
case_000123,synthetic_166_20_10,synthetic_166_20_10__faulty__guard_weaken__123043,large,20,80,10,guard_weaken,32.930000,1.000000,1.000000,1.000000,1.000000,0.995763,0.004237,True,True,completed
case_000124,synthetic_167_50_15,synthetic_167_50_15__faulty__guard_strengthen__124043,very_large,50,252,15,guard_strengthen,59.610000,1.000000,1.000000,1.000000,1.000000,0.998729,0.001271,True,True,completed
case_000125,synthetic_168_5_3,synthetic_168_5_3__faulty__action_corruption__125043,small,5,10,3,action_corruption,13.750000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,True,True,completed
case_000126,synthetic_169_10_5,synthetic_169_10_5__faulty__timeout_corruption__126043,medium,10,30,5,timeout_corruption,19.580000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,True,True,completed
case_000127,synthetic_170_20_10,synthetic_170_20_10__faulty__delay_corruption__127043,large,20,80,10,delay_corruption,33.090000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,True,True,completed
case_000128,synthetic_171_50_15,synthetic_171_50_15__faulty__nondeterminism_intro__128043,very_large,50,251,15,nondeterminism_intro,61.210000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,True,False,completed
case_000129,synthetic_172_5_3,synthetic_172_5_3__faulty__unreachable_state_intro__129043,small,5,11,3,unreachable_state_intro,12.980000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,True,True,completed
case_000130,,,medium,0,0,0,variable_intra_class,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,failed: Could not apply operator 'variable_intra_class' for case 130: variable_intra_class requires at least one FSM variable
case_000131,synthetic_174_20_10,synthetic_174_20_10__faulty__guard_inter_class__131043,large,20,83,10,guard_inter_class,33.680000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,True,True,completed
case_000132,synthetic_175_50_15,synthetic_175_50_15__faulty__action_full_mutation__132043,very_large,50,250,15,action_full_mutation,61.290000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,True,True,completed
case_000133,,,small,0,0,0,timed_selective_mutation,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,failed: Could not apply operator 'timed_selective_mutation' for case 133: timed_selective_mutation requires timed transitions
case_000134,synthetic_177_10_5,synthetic_177_10_5__faulty__missing_transition__134043,medium,10,30,5,missing_transition,23.330000,1.000000,1.000000,1.000000,1.000000,0.987654,0.012346,True,True,completed
case_000135,synthetic_178_20_10,synthetic_178_20_10__faulty__wrong_target__135043,large,20,81,10,wrong_target,35.620000,1.000000,1.000000,1.000000,1.000000,0.996124,0.003876,True,True,completed
case_000136,synthetic_179_50_15,synthetic_179_50_15__faulty__wrong_source__136043,very_large,50,253,15,wrong_source,58.970000,1.000000,1.000000,1.000000,1.000000,0.997608,0.002392,True,False,completed
case_000137,synthetic_180_5_3,synthetic_180_5_3__faulty__wrong_event__137043,small,5,10,3,wrong_event,12.250000,1.000000,1.000000,1.000000,1.000000,0.954545,0.045455,True,True,completed
