case_id,oracle_depth,declared_max_steps,mutation_operator,size_class,scenario_policy,reference_bpr,faulty_bpr,bpr_delta,fault_detected,final_bpr,repair_delta_bpr,complete_repair,effective_repair,oracle_state_coverage,oracle_transition_coverage,oracle_event_coverage,scenario_count,mean_scenario_length,median_scenario_length,max_scenario_length,max_scenario_steps
case_000002,shallow,5,wrong_target,medium,depth-forced,1.0,0.974359,0.025641,True,0.974359,0.0,False,False,1.0,1.0,1.0,29,4.034483,4,5,5
case_000021,shallow,5,wrong_target,small,depth-forced,1.0,0.944444,0.055556,True,0.944444,0.0,False,False,1.0,1.0,1.0,9,4,4,5,5
case_000040,shallow,5,wrong_target,very_large,depth-forced,1.0,0.982178,0.017822,True,0.982178,0.0,False,False,1.0,1.0,1.0,245,4.122449,4,5,5
case_000087,shallow,5,action_corruption,large,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,74,4.162162,4.0,5,5
case_000106,shallow,5,action_corruption,medium,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,32,3.96875,4.0,5,5
case_000125,shallow,5,action_corruption,small,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,8,4,4.0,5,5
case_000144,shallow,5,action_corruption,very_large,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,237,4.219409,4,5,5
case_000151,shallow,5,action_full_mutation,large,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,76,4.092105,4.0,5,5
case_000094,shallow,5,action_full_mutation,medium,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,28,4.071429,4.0,5,5
case_000113,shallow,5,action_full_mutation,small,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,10,4,4.0,5,5
case_000132,shallow,5,action_full_mutation,very_large,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,235,4.217021,4,5,5
case_000083,shallow,5,dead_state_intro,large,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,76,4.092105,4.0,5,5
case_000102,shallow,5,dead_state_intro,medium,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,32,3.96875,4.0,5,5
case_000121,shallow,5,dead_state_intro,small,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,9,4.111111,4,5,5
case_000140,shallow,5,dead_state_intro,very_large,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,247,4.11336,4,5,5
case_000127,shallow,5,delay_corruption,large,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,74,4.202703,4.0,5,5
case_000146,shallow,5,delay_corruption,medium,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,25,4.16,4,5,5
case_000089,shallow,5,delay_corruption,small,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,9,4,4,5,5
case_000108,shallow,5,delay_corruption,very_large,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,236,4.194915,4.0,5,5
case_000139,shallow,5,duplicate_transition,large,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,74,4.148649,4.0,5,5
case_000082,shallow,5,duplicate_transition,medium,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,27,4.037037,4,5,5
case_000101,shallow,5,duplicate_transition,small,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,8,3.875,4.0,5,5
case_000120,shallow,5,duplicate_transition,very_large,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,245,4.208163,4,5,5
case_000103,shallow,5,guard_flip,large,depth-forced,1.0,0.977273,0.022727,True,1.0,0.022727,True,True,1.0,1.0,1.0,75,4.106667,4,5,5
case_000122,shallow,5,guard_flip,medium,depth-forced,1.0,0.964912,0.035088,True,1.0,0.035088,True,True,1.0,1.0,1.0,28,4.071429,4.0,5,5
case_000141,shallow,5,guard_flip,small,depth-forced,1.0,0.75,0.25,True,1.0,0.25,True,True,1.0,1.0,1.0,9,4,4,5,5
case_000084,shallow,5,guard_flip,very_large,depth-forced,1.0,0.986922,0.013078,True,1.0,0.013078,True,True,1.0,1.0,1.0,240,4.141667,4.0,5,5
case_000131,shallow,5,guard_inter_class,large,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,80,4.025,4.0,5,5
case_000150,shallow,5,guard_inter_class,medium,depth-forced,1.0,0.949153,0.050847,True,1.0,0.050847,True,True,1.0,1.0,1.0,29,4.068966,4,5,5
case_000093,shallow,5,guard_inter_class,small,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,10,4,4.0,5,5
case_000112,shallow,5,guard_inter_class,very_large,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,247,4.137652,4,5,5
case_000143,shallow,5,guard_strengthen,large,depth-forced,1.0,0.993485,0.006515,True,1.0,0.006515,True,True,1.0,1.0,1.0,75,4.093333,4,5,5
case_000086,shallow,5,guard_strengthen,medium,depth-forced,1.0,0.956522,0.043478,True,1.0,0.043478,True,True,1.0,1.0,1.0,28,4.107143,4.0,5,5
case_000105,shallow,5,guard_strengthen,small,depth-forced,1.0,0.897436,0.102564,True,1.0,0.102564,True,True,1.0,1.0,1.0,10,3.9,4.0,5,5
case_000124,shallow,5,guard_strengthen,very_large,depth-forced,1.0,0.995,0.005,True,1.0,0.005,True,True,1.0,1.0,1.0,242,4.132231,4.0,5,5
case_000123,shallow,5,guard_weaken,large,depth-forced,1.0,0.993506,0.006494,True,1.0,0.006494,True,True,1.0,1.0,1.0,75,4.106667,4,5,5
case_000142,shallow,5,guard_weaken,medium,depth-forced,1.0,0.991453,0.008547,True,1.0,0.008547,True,True,1.0,1.0,1.0,29,4.034483,4,5,5
case_000085,shallow,5,guard_weaken,small,depth-forced,1.0,0.813953,0.186047,True,1.0,0.186047,True,True,1.0,1.0,1.0,11,3.909091,4,5,5
case_000104,shallow,5,guard_weaken,very_large,depth-forced,1.0,0.975684,0.024316,True,1.0,0.024316,True,True,1.0,1.0,1.0,233,4.236052,4,5,5
case_000115,shallow,5,missing_transition,large,depth-forced,1.0,0.981013,0.018987,True,1.0,0.018987,True,True,1.0,1.0,1.0,78,4.051282,4.0,5,5
case_000134,shallow,5,missing_transition,medium,depth-forced,1.0,0.942623,0.057377,True,1.0,0.057377,True,True,1.0,1.0,1.0,30,4.066667,4.0,5,5
case_000077,shallow,5,missing_transition,small,depth-forced,1.0,0.790698,0.209302,True,1.0,0.209302,True,True,1.0,1.0,1.0,11,3.909091,4,5,5
case_000096,shallow,5,missing_transition,very_large,depth-forced,1.0,0.998041,0.001959,True,1.0,0.001959,True,True,1.0,1.0,1.0,239,4.271967,4,5,5
case_000147,shallow,5,nondeterminism_intro,large,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,75,4.093333,4,5,5
case_000090,shallow,5,nondeterminism_intro,medium,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,27,4.074074,4,5,5
case_000109,shallow,5,nondeterminism_intro,small,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,12,4,4.0,5,5
case_000128,shallow,5,nondeterminism_intro,very_large,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,242,4.177686,4.0,5,5
case_000107,shallow,5,timeout_corruption,large,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,77,4.064935,4,5,5
case_000126,shallow,5,timeout_corruption,medium,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,29,4.068966,4,5,5
case_000145,shallow,5,timeout_corruption,small,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,10,4,4.0,5,5
case_000088,shallow,5,timeout_corruption,very_large,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,243,4.152263,4,5,5
case_000091,shallow,5,unreachable_state_intro,large,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,79,4.050633,4,5,5
case_000110,shallow,5,unreachable_state_intro,medium,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,28,4.142857,4.0,5,5
case_000129,shallow,5,unreachable_state_intro,small,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,11,3.909091,4,5,5
case_000148,shallow,5,unreachable_state_intro,very_large,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,241,4.211618,4,5,5
case_000099,shallow,5,wrong_event,large,depth-forced,1.0,0.983923,0.016077,True,1.0,0.016077,True,True,1.0,1.0,1.0,76,4.092105,4.0,5,5
case_000118,shallow,5,wrong_event,medium,depth-forced,1.0,0.942149,0.057851,True,1.0,0.057851,True,True,1.0,1.0,1.0,30,4.033333,4.0,5,5
case_000137,shallow,5,wrong_event,small,depth-forced,1.0,0.871795,0.128205,True,1.0,0.128205,True,True,1.0,1.0,1.0,10,3.9,4.0,5,5
case_000080,shallow,5,wrong_event,very_large,depth-forced,1.0,0.99503,0.00497,True,1.0,0.00497,True,True,1.0,1.0,1.0,243,4.139918,4,5,5
case_000119,shallow,5,wrong_initial_state,large,depth-forced,1.0,0.0,1.0,True,0.456954,0.456954,False,True,1.0,1.0,1.0,72,4.194444,4.0,5,5
case_000138,shallow,5,wrong_initial_state,medium,depth-forced,1.0,0.0,1.0,True,0.241379,0.241379,False,True,1.0,1.0,1.0,29,4,4,5,5
case_000081,shallow,5,wrong_initial_state,small,depth-forced,1.0,0.0,1.0,True,0.65,0.65,False,True,1.0,1.0,1.0,10,4,4.0,5,5
case_000100,shallow,5,wrong_initial_state,very_large,depth-forced,1.0,0.0,1.0,True,0.339458,0.339458,False,True,1.0,1.0,1.0,249,4.15261,4,5,5
case_000079,shallow,5,wrong_source,large,depth-forced,1.0,0.975535,0.024465,True,0.984709,0.009174,False,True,1.0,1.0,1.0,80,4.0875,4.0,5,5
case_000098,shallow,5,wrong_source,medium,depth-forced,1.0,0.990566,0.009434,True,1.0,0.009434,True,True,1.0,1.0,1.0,25,4.24,4,5,5
case_000117,shallow,5,wrong_source,small,depth-forced,1.0,0.638889,0.361111,True,1.0,0.361111,True,True,1.0,1.0,1.0,9,4,4,5,5
case_000136,shallow,5,wrong_source,very_large,depth-forced,1.0,0.992285,0.007715,True,0.997107,0.004822,False,True,1.0,1.0,1.0,249,4.164659,4,5,5
case_000135,shallow,5,wrong_target,large,depth-forced,1.0,0.996951,0.003049,True,0.996951,0.0,False,False,1.0,1.0,1.0,78,4.205128,4.0,5,5
case_000078,shallow,5,wrong_target,medium,depth-forced,1.0,0.899083,0.100917,True,0.899083,0.0,False,False,1.0,1.0,1.0,27,4.037037,4,5,5
case_000097,shallow,5,wrong_target,small,depth-forced,1.0,0.805556,0.194444,True,0.805556,0.0,False,False,1.0,1.0,1.0,9,4,4,5,5
case_000116,shallow,5,wrong_target,very_large,depth-forced,1.0,0.99515,0.00485,True,0.99515,0.0,False,False,1.0,1.0,1.0,242,4.260331,4.0,5,5
case_000163,shallow,5,action_corruption,large,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,75,4.133333,4,5,5
case_000182,shallow,5,action_corruption,medium,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,28,4.035714,4.0,5,5
case_000201,shallow,5,action_corruption,small,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,10,4,4.0,5,5
case_000220,shallow,5,action_corruption,very_large,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,239,4.25523,4,5,5
case_000227,shallow,5,action_full_mutation,large,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,77,4.077922,4,5,5
case_000170,shallow,5,action_full_mutation,medium,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,30,4,4.0,5,5
case_000189,shallow,5,action_full_mutation,small,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,10,4,4.0,5,5
case_000208,shallow,5,action_full_mutation,very_large,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,240,4.2125,4.0,5,5
case_000159,shallow,5,dead_state_intro,large,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,76,4.105263,4.0,5,5
case_000178,shallow,5,dead_state_intro,medium,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,28,4.107143,4.0,5,5
case_000197,shallow,5,dead_state_intro,small,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,9,3.888889,4,5,5
case_000216,shallow,5,dead_state_intro,very_large,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,236,4.165254,4.0,5,5
case_000203,shallow,5,delay_corruption,large,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,80,4.05,4.0,5,5
case_000222,shallow,5,delay_corruption,medium,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,28,4.071429,4.0,5,5
case_000165,shallow,5,delay_corruption,small,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,10,3.9,4.0,5,5
case_000184,shallow,5,delay_corruption,very_large,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,247,4.17004,4,5,5
case_000215,shallow,5,duplicate_transition,large,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,79,4.075949,4,5,5
case_000158,shallow,5,duplicate_transition,medium,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,27,4.148148,4,5,5
case_000177,shallow,5,duplicate_transition,small,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,10,4,4.0,5,5
case_000196,shallow,5,duplicate_transition,very_large,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,242,4.14876,4.0,5,5
case_000179,shallow,5,guard_flip,large,depth-forced,1.0,0.9967,0.0033,True,1.0,0.0033,True,True,1.0,1.0,1.0,74,4.094595,4.0,5,5
case_000198,shallow,5,guard_flip,medium,depth-forced,1.0,0.982609,0.017391,True,1.0,0.017391,True,True,1.0,1.0,1.0,28,4.107143,4.0,5,5
case_000217,shallow,5,guard_flip,small,depth-forced,1.0,0.864865,0.135135,True,1.0,0.135135,True,True,1.0,1.0,1.0,9,4.111111,4,5,5
case_000160,shallow,5,guard_flip,very_large,depth-forced,1.0,0.966667,0.033333,True,1.0,0.033333,True,True,1.0,1.0,1.0,236,4.194915,4.0,5,5
case_000207,shallow,5,guard_inter_class,large,depth-forced,1.0,0.990566,0.009434,True,1.0,0.009434,True,True,1.0,1.0,1.0,77,4.12987,4,5,5
case_000226,shallow,5,guard_inter_class,medium,depth-forced,1.0,1.0,0.0,False,1.0,0.0,True,False,1.0,1.0,1.0,30,4,4.0,5,5
case_000169,shallow,5,guard_inter_class,small,depth-forced,1.0,0.805556,0.194444,True,1.0,0.194444,True,True,1.0,1.0,1.0,9,4,4,5,5
case_000188,shallow,5,guard_inter_class,very_large,depth-forced,1.0,0.999024,0.000976,True,1.0,0.000976,True,True,1.0,1.0,1.0,241,4.253112,4,5,5
case_000219,shallow,5,guard_strengthen,large,depth-forced,1.0,0.980328,0.019672,True,1.0,0.019672,True,True,1.0,1.0,1.0,74,4.121622,4.0,5,5
case_000162,shallow,5,guard_strengthen,medium,depth-forced,1.0,0.967742,0.032258,True,1.0,0.032258,True,True,1.0,1.0,1.0,31,4,4,5,5
case_000181,shallow,5,guard_strengthen,small,depth-forced,1.0,0.972222,0.027778,True,1.0,0.027778,True,True,1.0,1.0,1.0,9,4,4,5,5
case_000200,shallow,5,guard_strengthen,very_large,depth-forced,1.0,0.992872,0.007128,True,1.0,0.007128,True,True,1.0,1.0,1.0,238,4.12605,4.0,5,5
case_000199,shallow,5,guard_weaken,large,depth-forced,1.0,0.993691,0.006309,True,1.0,0.006309,True,True,1.0,1.0,1.0,76,4.171053,4.0,5,5
case_000218,shallow,5,guard_weaken,medium,depth-forced,1.0,0.957265,0.042735,True,1.0,0.042735,True,True,1.0,1.0,1.0,29,4.034483,4,5,5
case_000161,shallow,5,guard_weaken,small,depth-forced,1.0,0.611111,0.388889,True,1.0,0.388889,True,True,1.0,1.0,1.0,9,4,4,5,5
