case_id,tool_id,tool_type,model,mutation_operator,status,failure_class,initial_bpr,final_bpr,delta_bpr,complete_repair,effective_repair,regression,patch_parse_failures,patch_validation_failures,patch_application_failures,iterations_completed,runtime_seconds
case_000005,baseline_llm_template,baseline,baseline_llm_template,wrong_initial_state,completed,effective_repair,0.0,0.7272727272727273,0.7272727272727273,False,True,False,0,0,0,1,0.001
case_000005,baseline_oracle_composite,baseline,baseline_oracle_composite,wrong_initial_state,completed,effective_repair,0.0,0.7272727272727273,0.7272727272727273,False,True,False,0,0,0,1,0.0007
case_000005,baseline_search_bpr,baseline,baseline_search_bpr,wrong_initial_state,completed,effective_repair,0.0,0.7272727272727273,0.7272727272727273,False,True,False,0,0,0,1,0.0012
case_000006,baseline_llm_template,baseline,baseline_llm_template,duplicate_transition,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0005
case_000006,baseline_oracle_composite,baseline,baseline_oracle_composite,duplicate_transition,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0005
case_000006,baseline_search_bpr,baseline,baseline_search_bpr,duplicate_transition,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0005
case_000007,baseline_llm_template,baseline,baseline_llm_template,dead_state_intro,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0017
case_000007,baseline_oracle_composite,baseline,baseline_oracle_composite,dead_state_intro,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0016
case_000007,baseline_search_bpr,baseline,baseline_search_bpr,dead_state_intro,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0016
case_000008,baseline_llm_template,baseline,baseline_llm_template,guard_flip,completed,complete_repair,0.9856584093872229,1.0,0.014341590612777066,True,True,False,0,0,0,1,0.0652
case_000008,baseline_oracle_composite,baseline,baseline_oracle_composite,guard_flip,completed,complete_repair,0.9856584093872229,1.0,0.014341590612777066,True,True,False,0,0,0,1,0.0776
case_000008,baseline_search_bpr,baseline,baseline_search_bpr,guard_flip,completed,complete_repair,0.9856584093872229,1.0,0.014341590612777066,True,True,False,0,0,0,1,0.1239
case_000009,baseline_llm_template,baseline,baseline_llm_template,guard_weaken,completed,complete_repair,0.7916666666666666,1.0,0.20833333333333337,True,True,False,0,0,0,1,0.0014
case_000009,baseline_oracle_composite,baseline,baseline_oracle_composite,guard_weaken,completed,complete_repair,0.7916666666666666,1.0,0.20833333333333337,True,True,False,0,0,0,1,0.0014
case_000009,baseline_search_bpr,baseline,baseline_search_bpr,guard_weaken,completed,complete_repair,0.7916666666666666,1.0,0.20833333333333337,True,True,False,0,0,0,1,0.0012
case_000010,baseline_llm_template,baseline,baseline_llm_template,guard_strengthen,completed,complete_repair,0.9135802469135802,1.0,0.0864197530864198,True,True,False,0,0,0,1,0.0017
case_000010,baseline_oracle_composite,baseline,baseline_oracle_composite,guard_strengthen,completed,complete_repair,0.9135802469135802,1.0,0.0864197530864198,True,True,False,0,0,0,1,0.0018
case_000010,baseline_search_bpr,baseline,baseline_search_bpr,guard_strengthen,completed,complete_repair,0.9135802469135802,1.0,0.0864197530864198,True,True,False,0,0,0,1,0.0033
case_000011,baseline_llm_template,baseline,baseline_llm_template,action_corruption,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0018
case_000011,baseline_oracle_composite,baseline,baseline_oracle_composite,action_corruption,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0016
case_000011,baseline_search_bpr,baseline,baseline_search_bpr,action_corruption,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0017
case_000012,baseline_llm_template,baseline,baseline_llm_template,timeout_corruption,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0183
case_000012,baseline_oracle_composite,baseline,baseline_oracle_composite,timeout_corruption,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0223
case_000012,baseline_search_bpr,baseline,baseline_search_bpr,timeout_corruption,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0134
case_000013,baseline_llm_template,baseline,baseline_llm_template,delay_corruption,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0002
case_000013,baseline_oracle_composite,baseline,baseline_oracle_composite,delay_corruption,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0002
case_000013,baseline_search_bpr,baseline,baseline_search_bpr,delay_corruption,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0002
case_000014,baseline_llm_template,baseline,baseline_llm_template,nondeterminism_intro,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0005
case_000014,baseline_oracle_composite,baseline,baseline_oracle_composite,nondeterminism_intro,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0005
case_000014,baseline_search_bpr,baseline,baseline_search_bpr,nondeterminism_intro,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0005
case_000015,baseline_llm_template,baseline,baseline_llm_template,unreachable_state_intro,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0017
case_000015,baseline_oracle_composite,baseline,baseline_oracle_composite,unreachable_state_intro,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0017
case_000015,baseline_search_bpr,baseline,baseline_search_bpr,unreachable_state_intro,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0017
case_000017,baseline_llm_template,baseline,baseline_llm_template,guard_inter_class,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0002
case_000017,baseline_oracle_composite,baseline,baseline_oracle_composite,guard_inter_class,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0002
case_000017,baseline_search_bpr,baseline,baseline_search_bpr,guard_inter_class,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0002
case_000018,baseline_llm_template,baseline,baseline_llm_template,action_full_mutation,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0005
case_000018,baseline_oracle_composite,baseline,baseline_oracle_composite,action_full_mutation,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0005
case_000018,baseline_search_bpr,baseline,baseline_search_bpr,action_full_mutation,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0005
case_000020,baseline_llm_template,baseline,baseline_llm_template,missing_transition,completed,complete_repair,0.925700365408039,1.0,0.07429963459196098,True,True,False,0,0,0,1,0.0608
case_000020,baseline_oracle_composite,baseline,baseline_oracle_composite,missing_transition,completed,complete_repair,0.925700365408039,1.0,0.07429963459196098,True,True,False,0,0,0,1,0.0881
case_000020,baseline_search_bpr,baseline,baseline_search_bpr,missing_transition,completed,complete_repair,0.925700365408039,1.0,0.07429963459196098,True,True,False,0,0,0,1,0.4765
case_000021,baseline_llm_template,baseline,baseline_llm_template,wrong_target,completed,complete_repair,0.9615384615384616,1.0,0.038461538461538436,True,True,False,0,0,0,1,0.0005
case_000021,baseline_oracle_composite,baseline,baseline_oracle_composite,wrong_target,completed,complete_repair,0.9615384615384616,1.0,0.038461538461538436,True,True,False,0,0,0,1,0.0005
case_000021,baseline_search_bpr,baseline,baseline_search_bpr,wrong_target,completed,complete_repair,0.9615384615384616,1.0,0.038461538461538436,True,True,False,0,0,0,1,0.0008
case_000022,baseline_llm_template,baseline,baseline_llm_template,wrong_source,completed,complete_repair,0.9066666666666666,1.0,0.09333333333333338,True,True,False,0,0,0,1,0.0017
case_000022,baseline_oracle_composite,baseline,baseline_oracle_composite,wrong_source,completed,complete_repair,0.9066666666666666,1.0,0.09333333333333338,True,True,False,0,0,0,1,0.0017
case_000022,baseline_search_bpr,baseline,baseline_search_bpr,wrong_source,completed,complete_repair,0.9066666666666666,1.0,0.09333333333333338,True,True,False,0,0,0,1,0.0028
case_000023,baseline_llm_template,baseline,baseline_llm_template,wrong_event,completed,complete_repair,0.9958677685950413,1.0,0.004132231404958664,True,True,False,0,0,0,1,0.0073
case_000023,baseline_oracle_composite,baseline,baseline_oracle_composite,wrong_event,completed,complete_repair,0.9958677685950413,1.0,0.004132231404958664,True,True,False,0,0,0,1,0.0121
case_000023,baseline_search_bpr,baseline,baseline_search_bpr,wrong_event,completed,complete_repair,0.9958677685950413,1.0,0.004132231404958664,True,True,False,0,0,0,1,0.0312
case_000024,baseline_llm_template,baseline,baseline_llm_template,wrong_initial_state,completed,effective_repair,0.0,0.9369482976040353,0.9369482976040353,False,True,False,0,0,0,1,0.1926
case_000024,baseline_oracle_composite,baseline,baseline_oracle_composite,wrong_initial_state,completed,effective_repair,0.0,0.9369482976040353,0.9369482976040353,False,True,False,0,0,0,1,0.1762
case_000024,baseline_search_bpr,baseline,baseline_search_bpr,wrong_initial_state,completed,effective_repair,0.0,0.424968474148802,0.424968474148802,False,True,False,0,0,0,1,0.5278
case_000025,baseline_llm_template,baseline,baseline_llm_template,duplicate_transition,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0003
case_000025,baseline_oracle_composite,baseline,baseline_oracle_composite,duplicate_transition,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0002
case_000025,baseline_search_bpr,baseline,baseline_search_bpr,duplicate_transition,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0003
case_000026,baseline_llm_template,baseline,baseline_llm_template,dead_state_intro,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0006
case_000026,baseline_oracle_composite,baseline,baseline_oracle_composite,dead_state_intro,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0011
case_000026,baseline_search_bpr,baseline,baseline_search_bpr,dead_state_intro,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0011
case_000027,baseline_llm_template,baseline,baseline_llm_template,guard_flip,completed,complete_repair,0.5474137931034483,1.0,0.4525862068965517,True,True,False,0,0,0,1,0.0218
case_000027,baseline_oracle_composite,baseline,baseline_oracle_composite,guard_flip,completed,complete_repair,0.5474137931034483,1.0,0.4525862068965517,True,True,False,0,0,0,1,0.0247
case_000027,baseline_search_bpr,baseline,baseline_search_bpr,guard_flip,completed,complete_repair,0.5474137931034483,1.0,0.4525862068965517,True,True,False,0,0,0,1,0.0449
case_000028,baseline_llm_template,baseline,baseline_llm_template,guard_weaken,completed,complete_repair,0.9987546699875467,1.0,0.001245330012453305,True,True,False,0,0,0,1,0.0662
case_000028,baseline_oracle_composite,baseline,baseline_oracle_composite,guard_weaken,completed,complete_repair,0.9987546699875467,1.0,0.001245330012453305,True,True,False,0,0,0,1,0.0841
case_000028,baseline_search_bpr,baseline,baseline_search_bpr,guard_weaken,completed,complete_repair,0.9987546699875467,1.0,0.001245330012453305,True,True,False,0,0,0,1,0.1538
case_000029,baseline_llm_template,baseline,baseline_llm_template,guard_strengthen,completed,complete_repair,0.9545454545454546,1.0,0.045454545454545414,True,True,False,0,0,0,1,0.001
case_000029,baseline_oracle_composite,baseline,baseline_oracle_composite,guard_strengthen,completed,complete_repair,0.9545454545454546,1.0,0.045454545454545414,True,True,False,0,0,0,1,0.001
case_000029,baseline_search_bpr,baseline,baseline_search_bpr,guard_strengthen,completed,complete_repair,0.9545454545454546,1.0,0.045454545454545414,True,True,False,0,0,0,1,0.0018
case_000030,baseline_llm_template,baseline,baseline_llm_template,action_corruption,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0009
case_000030,baseline_oracle_composite,baseline,baseline_oracle_composite,action_corruption,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0005
case_000030,baseline_search_bpr,baseline,baseline_search_bpr,action_corruption,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0005
case_000031,baseline_llm_template,baseline,baseline_llm_template,timeout_corruption,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0017
case_000031,baseline_oracle_composite,baseline,baseline_oracle_composite,timeout_corruption,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0016
case_000031,baseline_search_bpr,baseline,baseline_search_bpr,timeout_corruption,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0016
case_000032,baseline_llm_template,baseline,baseline_llm_template,delay_corruption,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0141
case_000032,baseline_oracle_composite,baseline,baseline_oracle_composite,delay_corruption,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0304
case_000032,baseline_search_bpr,baseline,baseline_search_bpr,delay_corruption,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0204
case_000033,baseline_llm_template,baseline,baseline_llm_template,nondeterminism_intro,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0002
case_000033,baseline_oracle_composite,baseline,baseline_oracle_composite,nondeterminism_intro,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0002
case_000033,baseline_search_bpr,baseline,baseline_search_bpr,nondeterminism_intro,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0002
case_000034,baseline_llm_template,baseline,baseline_llm_template,unreachable_state_intro,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0005
case_000034,baseline_oracle_composite,baseline,baseline_oracle_composite,unreachable_state_intro,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0005
case_000034,baseline_search_bpr,baseline,baseline_search_bpr,unreachable_state_intro,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0005
case_000036,baseline_llm_template,baseline,baseline_llm_template,guard_inter_class,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0141
case_000036,baseline_oracle_composite,baseline,baseline_oracle_composite,guard_inter_class,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0283
case_000036,baseline_search_bpr,baseline,baseline_search_bpr,guard_inter_class,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0108
case_000037,baseline_llm_template,baseline,baseline_llm_template,action_full_mutation,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0002
case_000037,baseline_oracle_composite,baseline,baseline_oracle_composite,action_full_mutation,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0002
case_000037,baseline_search_bpr,baseline,baseline_search_bpr,action_full_mutation,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0002
case_000039,baseline_llm_template,baseline,baseline_llm_template,missing_transition,completed,complete_repair,0.99609375,1.0,0.00390625,True,True,False,0,0,0,1,0.0059
case_000039,baseline_oracle_composite,baseline,baseline_oracle_composite,missing_transition,completed,complete_repair,0.99609375,1.0,0.00390625,True,True,False,0,0,0,1,0.0108
case_000039,baseline_search_bpr,baseline,baseline_search_bpr,missing_transition,completed,complete_repair,0.99609375,1.0,0.00390625,True,True,False,0,0,0,1,0.0105
case_000040,baseline_llm_template,baseline,baseline_llm_template,wrong_target,completed,complete_repair,0.9859514687100894,1.0,0.01404853128991057,True,True,False,0,0,0,1,0.0452
case_000040,baseline_oracle_composite,baseline,baseline_oracle_composite,wrong_target,completed,complete_repair,0.9859514687100894,1.0,0.01404853128991057,True,True,False,0,0,0,1,0.0554
case_000040,baseline_search_bpr,baseline,baseline_search_bpr,wrong_target,completed,complete_repair,0.9859514687100894,1.0,0.01404853128991057,True,True,False,0,0,0,1,0.0533
case_000041,baseline_llm_template,baseline,baseline_llm_template,wrong_source,completed,complete_repair,0.7727272727272727,1.0,0.2272727272727273,True,True,False,0,0,0,1,0.0007
case_000041,baseline_oracle_composite,baseline,baseline_oracle_composite,wrong_source,completed,complete_repair,0.7727272727272727,1.0,0.2272727272727273,True,True,False,0,0,0,1,0.0007
case_000041,baseline_search_bpr,baseline,baseline_search_bpr,wrong_source,completed,complete_repair,0.7727272727272727,1.0,0.2272727272727273,True,True,False,0,0,0,1,0.001
case_000042,baseline_llm_template,baseline,baseline_llm_template,wrong_event,completed,regression,0.9876543209876543,0.9753086419753086,-0.012345679012345623,False,False,True,0,0,0,1,0.0021
case_000042,baseline_oracle_composite,baseline,baseline_oracle_composite,wrong_event,completed,regression,0.9876543209876543,0.9753086419753086,-0.012345679012345623,False,False,True,0,0,0,1,0.0021
case_000042,baseline_search_bpr,baseline,baseline_search_bpr,wrong_event,completed,complete_repair,0.9876543209876543,1.0,0.012345679012345734,True,True,False,0,0,0,1,0.0034
case_000043,baseline_llm_template,baseline,baseline_llm_template,wrong_initial_state,completed,effective_repair,0.0,0.9959016393442623,0.9959016393442623,False,True,False,0,0,0,1,0.0153
case_000043,baseline_oracle_composite,baseline,baseline_oracle_composite,wrong_initial_state,completed,effective_repair,0.0,0.9959016393442623,0.9959016393442623,False,True,False,0,0,0,1,0.0171
case_000043,baseline_search_bpr,baseline,baseline_search_bpr,wrong_initial_state,completed,effective_repair,0.0,0.6270491803278688,0.6270491803278688,False,True,False,0,0,0,1,0.0399
case_000044,baseline_llm_template,baseline,baseline_llm_template,duplicate_transition,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0166
case_000044,baseline_oracle_composite,baseline,baseline_oracle_composite,duplicate_transition,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0241
case_000044,baseline_search_bpr,baseline,baseline_search_bpr,duplicate_transition,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0161
case_000045,baseline_llm_template,baseline,baseline_llm_template,dead_state_intro,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0002
case_000045,baseline_oracle_composite,baseline,baseline_oracle_composite,dead_state_intro,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0002
case_000045,baseline_search_bpr,baseline,baseline_search_bpr,dead_state_intro,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0002
case_000046,baseline_llm_template,baseline,baseline_llm_template,guard_flip,completed,complete_repair,0.9871794871794872,1.0,0.012820512820512775,True,True,False,0,0,0,1,0.002
case_000046,baseline_oracle_composite,baseline,baseline_oracle_composite,guard_flip,completed,complete_repair,0.9871794871794872,1.0,0.012820512820512775,True,True,False,0,0,0,1,0.0019
case_000046,baseline_search_bpr,baseline,baseline_search_bpr,guard_flip,completed,complete_repair,0.9871794871794872,1.0,0.012820512820512775,True,True,False,0,0,0,1,0.0038
case_000047,baseline_llm_template,baseline,baseline_llm_template,guard_weaken,completed,complete_repair,0.996,1.0,0.0040000000000000036,True,True,False,0,0,0,1,0.0121
case_000047,baseline_oracle_composite,baseline,baseline_oracle_composite,guard_weaken,completed,complete_repair,0.996,1.0,0.0040000000000000036,True,True,False,0,0,0,1,0.0153
case_000047,baseline_search_bpr,baseline,baseline_search_bpr,guard_weaken,completed,complete_repair,0.996,1.0,0.0040000000000000036,True,True,False,0,0,0,1,0.0199
case_000048,baseline_llm_template,baseline,baseline_llm_template,guard_strengthen,completed,no_improvement,0.9988700564971752,0.9988700564971752,0.0,False,False,False,0,0,0,1,0.1248
case_000048,baseline_oracle_composite,baseline,baseline_oracle_composite,guard_strengthen,completed,no_improvement,0.9988700564971752,0.9988700564971752,0.0,False,False,False,0,0,0,1,0.0974
case_000048,baseline_search_bpr,baseline,baseline_search_bpr,guard_strengthen,completed,complete_repair,0.9988700564971752,1.0,0.001129943502824804,True,True,False,0,0,0,1,0.1314
case_000049,baseline_llm_template,baseline,baseline_llm_template,action_corruption,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0002
case_000049,baseline_oracle_composite,baseline,baseline_oracle_composite,action_corruption,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0002
case_000049,baseline_search_bpr,baseline,baseline_search_bpr,action_corruption,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0002
case_000050,baseline_llm_template,baseline,baseline_llm_template,timeout_corruption,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0005
case_000050,baseline_oracle_composite,baseline,baseline_oracle_composite,timeout_corruption,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0005
case_000050,baseline_search_bpr,baseline,baseline_search_bpr,timeout_corruption,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.001
case_000051,baseline_llm_template,baseline,baseline_llm_template,delay_corruption,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0017
case_000051,baseline_oracle_composite,baseline,baseline_oracle_composite,delay_corruption,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0017
case_000051,baseline_search_bpr,baseline,baseline_search_bpr,delay_corruption,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0017
case_000052,baseline_llm_template,baseline,baseline_llm_template,nondeterminism_intro,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0187
case_000052,baseline_oracle_composite,baseline,baseline_oracle_composite,nondeterminism_intro,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0216
case_000052,baseline_search_bpr,baseline,baseline_search_bpr,nondeterminism_intro,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0131
case_000053,baseline_llm_template,baseline,baseline_llm_template,unreachable_state_intro,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0002
case_000053,baseline_oracle_composite,baseline,baseline_oracle_composite,unreachable_state_intro,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0002
case_000053,baseline_search_bpr,baseline,baseline_search_bpr,unreachable_state_intro,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0002
case_000055,baseline_llm_template,baseline,baseline_llm_template,guard_inter_class,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0016
case_000055,baseline_oracle_composite,baseline,baseline_oracle_composite,guard_inter_class,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0017
case_000055,baseline_search_bpr,baseline,baseline_search_bpr,guard_inter_class,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0032
case_000056,baseline_llm_template,baseline,baseline_llm_template,action_full_mutation,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0106
case_000056,baseline_oracle_composite,baseline,baseline_oracle_composite,action_full_mutation,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0206
case_000056,baseline_search_bpr,baseline,baseline_search_bpr,action_full_mutation,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0118
case_000058,baseline_llm_template,baseline,baseline_llm_template,missing_transition,completed,complete_repair,0.9879518072289156,1.0,0.012048192771084376,True,True,False,0,0,0,1,0.0018
case_000058,baseline_oracle_composite,baseline,baseline_oracle_composite,missing_transition,completed,complete_repair,0.9879518072289156,1.0,0.012048192771084376,True,True,False,0,0,0,1,0.0017
case_000058,baseline_search_bpr,baseline,baseline_search_bpr,missing_transition,completed,complete_repair,0.9879518072289156,1.0,0.012048192771084376,True,True,False,0,0,0,1,0.0034
case_000059,baseline_llm_template,baseline,baseline_llm_template,wrong_target,completed,complete_repair,0.9959514170040485,1.0,0.004048582995951455,True,True,False,0,0,0,1,0.0096
case_000059,baseline_oracle_composite,baseline,baseline_oracle_composite,wrong_target,completed,complete_repair,0.9959514170040485,1.0,0.004048582995951455,True,True,False,0,0,0,1,0.0054
case_000059,baseline_search_bpr,baseline,baseline_search_bpr,wrong_target,completed,complete_repair,0.9959514170040485,1.0,0.004048582995951455,True,True,False,0,0,0,1,0.0128
case_000060,baseline_llm_template,baseline,baseline_llm_template,wrong_source,completed,complete_repair,0.9871345029239766,1.0,0.012865497076023358,True,True,False,0,0,0,1,0.062
case_000060,baseline_oracle_composite,baseline,baseline_oracle_composite,wrong_source,completed,complete_repair,0.9871345029239766,1.0,0.012865497076023358,True,True,False,0,0,0,1,0.081
case_000060,baseline_search_bpr,baseline,baseline_search_bpr,wrong_source,completed,complete_repair,0.9871345029239766,1.0,0.012865497076023358,True,True,False,0,0,0,1,0.0872
case_000061,baseline_llm_template,baseline,baseline_llm_template,wrong_event,completed,regression,0.7727272727272727,0.0,-0.7727272727272727,False,False,True,0,0,0,1,0.0007
case_000061,baseline_oracle_composite,baseline,baseline_oracle_composite,wrong_event,completed,regression,0.7727272727272727,0.0,-0.7727272727272727,False,False,True,0,0,0,1,0.0007
case_000061,baseline_search_bpr,baseline,baseline_search_bpr,wrong_event,completed,complete_repair,0.7727272727272727,1.0,0.2272727272727273,True,True,False,0,0,0,1,0.0012
case_000062,baseline_llm_template,baseline,baseline_llm_template,wrong_initial_state,completed,effective_repair,0.0,0.9135802469135802,0.9135802469135802,False,True,False,0,0,0,1,0.0034
case_000062,baseline_oracle_composite,baseline,baseline_oracle_composite,wrong_initial_state,completed,effective_repair,0.0,0.9135802469135802,0.9135802469135802,False,True,False,0,0,0,1,0.0111
case_000062,baseline_search_bpr,baseline,baseline_search_bpr,wrong_initial_state,completed,effective_repair,0.0,0.8271604938271605,0.8271604938271605,False,True,False,0,0,0,1,0.0186
case_000063,baseline_llm_template,baseline,baseline_llm_template,duplicate_transition,completed,complete_repair,1.0,1.0,0.0,True,False,False,0,0,0,1,0.0018
