case_id,source_case_id,mutation_order,is_higher_order,primary_operator,mutation_operator,ho_seed,reference_bpr,faulty_bpr,bpr_delta,fault_detected,first_order_components_detected,first_order_components_total,all_first_order_detected,coupling_eligible,coupling_detected,complete_repair,effective_repair,repair_final_bpr,repair_delta_bpr,generation_status
case_000301__ho2,case_000301,2,True,duplicate_transition,"duplicate_transition,wrong_event",57034,1.0,0.95,0.05,True,1,2,False,False,False,True,True,1.0,0.05,generated
case_000301__ho3,case_000301,3,True,duplicate_transition,"duplicate_transition,guard_weaken,guard_strengthen",75751,1.0,0.9,0.1,True,2,3,False,False,False,True,True,1.0,0.1,generated
case_000251,case_000251,1,False,guard_flip,guard_flip,,1.0,0.75,0.25,True,1,1,True,False,False,True,True,1.0,0.25,source
case_000251__ho2,case_000251,2,True,guard_flip,"guard_flip,wrong_initial_state",43995,1.0,0.0,1.0,True,2,2,True,True,True,False,True,0.75,0.75,generated
case_000251__ho3,case_000251,3,True,guard_flip,"guard_flip,wrong_target,missing_transition",70038,1.0,0.5,0.5,True,3,3,True,True,True,False,True,0.75,0.25,generated
case_000351,case_000351,1,False,wrong_target,wrong_target,,1.0,0.916667,0.083333,True,1,1,True,False,False,False,False,0.916667,0.0,source
case_000351__ho2,case_000351,2,True,wrong_target,"wrong_target,guard_flip",76093,1.0,0.333333,0.666667,True,2,2,True,True,True,False,True,0.416667,0.083333,generated
case_000351__ho3,case_000351,3,True,wrong_target,"wrong_target,wrong_event,wrong_source",55968,1.0,0.5,0.5,True,3,3,True,True,True,True,True,1.0,0.5,generated
case_000451,case_000451,1,False,dead_state_intro,dead_state_intro,,1.0,1.0,0.0,False,0,1,False,False,False,True,False,1.0,0.0,source
case_000451__ho2,case_000451,2,True,dead_state_intro,"dead_state_intro,guard_weaken",15380,1.0,0.0,1.0,True,1,2,False,False,False,True,True,1.0,1.0,generated
case_000451__ho3,case_000451,3,True,dead_state_intro,"dead_state_intro,wrong_event,wrong_source",473,1.0,0.0,1.0,True,2,3,False,False,False,True,True,1.0,1.0,generated
case_000551,case_000551,1,False,unreachable_state_intro,unreachable_state_intro,,1.0,1.0,0.0,False,0,1,False,False,False,True,False,1.0,0.0,source
case_000551__ho2,case_000551,2,True,unreachable_state_intro,"unreachable_state_intro,wrong_event",23778,1.0,0.666667,0.333333,True,1,2,False,False,False,True,True,1.0,0.333333,generated
case_000551__ho3,case_000551,3,True,unreachable_state_intro,"unreachable_state_intro,guard_weaken,guard_strengthen",90079,1.0,0.0,1.0,True,2,3,False,False,False,True,True,1.0,1.0,generated
case_000401,case_000401,1,False,wrong_initial_state,wrong_initial_state,,1.0,0.0,1.0,True,1,1,True,False,False,True,True,1.0,1.0,source
case_000401__ho2,case_000401,2,True,wrong_initial_state,"wrong_initial_state,guard_flip",32403,1.0,0.0,1.0,True,2,2,True,True,True,True,True,1.0,1.0,generated
case_000401__ho3,case_000401,3,True,wrong_initial_state,"wrong_initial_state,wrong_event,wrong_source",69166,1.0,0.0,1.0,True,3,3,True,True,True,True,True,1.0,1.0,generated
case_000501,case_000501,1,False,wrong_target,wrong_target,,1.0,0.0,1.0,True,1,1,True,False,False,False,False,0.0,0.0,source
case_000501__ho2,case_000501,2,True,wrong_target,"wrong_target,guard_strengthen",61189,1.0,0.0,1.0,True,2,2,True,True,True,True,True,1.0,1.0,generated
case_000001,case_000001,1,False,missing_transition,missing_transition,,1.0,0.0,1.0,True,1,1,True,False,False,True,True,1.0,1.0,source
case_000001__ho2,case_000001,2,True,missing_transition,"missing_transition,wrong_initial_state",38409,1.0,0.0,1.0,True,2,2,True,True,True,True,True,1.0,1.0,generated
case_000051,case_000051,1,False,nondeterminism_intro,nondeterminism_intro,,1.0,1.0,0.0,False,0,1,False,False,False,True,False,1.0,0.0,source
case_000051__ho2,case_000051,2,True,nondeterminism_intro,"nondeterminism_intro,wrong_initial_state",72702,1.0,0.0,1.0,True,1,2,False,False,False,False,False,0.0,0.0,generated
case_000051__ho3,case_000051,3,True,nondeterminism_intro,"nondeterminism_intro,guard_flip,missing_transition",58883,1.0,0.666667,0.333333,True,2,3,False,False,False,True,True,1.0,0.333333,generated
case_000151,case_000151,1,False,wrong_event,wrong_event,,1.0,0.0,1.0,True,1,1,True,False,False,True,True,1.0,1.0,source
case_000151__ho2,case_000151,2,True,wrong_event,"wrong_event,missing_transition",20056,1.0,0.0,1.0,True,2,2,True,True,True,True,True,1.0,1.0,generated
case_000151__ho3,case_000151,3,True,wrong_event,"wrong_event,wrong_source,guard_weaken",71285,1.0,0.0,1.0,True,3,3,True,True,True,True,True,1.0,1.0,generated
case_000101,case_000101,1,False,wrong_source,wrong_source,,1.0,0.0,1.0,True,1,1,True,False,False,True,True,1.0,1.0,source
case_000101__ho2,case_000101,2,True,wrong_source,"wrong_source,missing_transition",46895,1.0,0.0,1.0,True,2,2,True,True,True,True,True,1.0,1.0,generated
case_000101__ho3,case_000101,3,True,wrong_source,"wrong_source,guard_flip,missing_transition",82994,1.0,0.0,1.0,True,3,3,True,True,True,True,True,1.0,1.0,generated
case_000851,case_000851,1,False,delay_corruption,delay_corruption,,1.0,1.0,0.0,False,0,1,False,False,False,True,False,1.0,0.0,source
case_000851__ho2,case_000851,2,True,delay_corruption,"delay_corruption,missing_transition",20594,1.0,0.25,0.75,True,1,2,False,False,False,True,True,1.0,0.75,generated
case_000851__ho3,case_000851,3,True,delay_corruption,"delay_corruption,wrong_source,guard_weaken",69903,1.0,0.25,0.75,True,2,3,False,False,False,False,True,0.75,0.5,generated
case_000951,case_000951,1,False,missing_transition,missing_transition,,1.0,0.909091,0.090909,True,1,1,True,False,False,True,True,1.0,0.090909,source
case_000951__ho2,case_000951,2,True,missing_transition,"missing_transition,guard_strengthen",33828,1.0,0.818182,0.181818,True,2,2,True,True,True,True,True,1.0,0.181818,generated
case_000951__ho3,case_000951,3,True,missing_transition,"missing_transition,wrong_initial_state,wrong_target",36969,1.0,0.0,1.0,True,3,3,True,True,True,False,True,0.818182,0.818182,generated
case_000801,case_000801,1,False,timeout_corruption,timeout_corruption,,1.0,1.0,0.0,False,0,1,False,False,False,True,False,1.0,0.0,source
case_000801__ho2,case_000801,2,True,timeout_corruption,"timeout_corruption,guard_weaken",4629,1.0,0.833333,0.166667,True,1,2,False,False,False,True,True,1.0,0.166667,generated
case_000801__ho3,case_000801,3,True,timeout_corruption,"timeout_corruption,wrong_event,wrong_source",53880,1.0,0.333333,0.666667,True,2,3,False,False,False,True,True,1.0,0.666667,generated
case_000901,case_000901,1,False,wrong_target,wrong_target,,1.0,0.958333,0.041667,True,1,1,True,False,False,False,False,0.958333,0.0,source
case_000901__ho2,case_000901,2,True,wrong_target,"wrong_target,guard_weaken",61347,1.0,0.583333,0.416667,True,2,2,True,True,True,False,True,0.958333,0.375,generated
case_000901__ho3,case_000901,3,True,wrong_target,"wrong_target,guard_strengthen,wrong_initial_state",3582,1.0,0.0,1.0,True,3,3,True,True,True,False,True,0.958333,0.958333,generated
case_000702,case_000702,1,False,guard_flip,guard_flip,,1.0,0.95,0.05,True,1,1,True,False,False,True,True,1.0,0.05,source
case_000702__ho2,case_000702,2,True,guard_flip,"guard_flip,wrong_source",23923,1.0,0.9,0.1,True,2,2,True,True,True,True,True,1.0,0.1,generated
case_000702__ho3,case_000702,3,True,guard_flip,"guard_flip,guard_strengthen,wrong_initial_state",99918,1.0,0.0,1.0,True,3,3,True,True,True,False,True,0.95,0.95,generated
case_000652,case_000652,1,False,guard_strengthen,guard_strengthen,,1.0,0.75,0.25,True,1,1,True,False,False,True,True,1.0,0.25,source
case_000652__ho2,case_000652,2,True,guard_strengthen,"guard_strengthen,guard_weaken",56930,1.0,0.25,0.75,True,2,2,True,True,True,False,True,0.75,0.5,generated
case_000652__ho3,case_000652,3,True,guard_strengthen,"guard_strengthen,missing_transition,wrong_event",15327,1.0,0.0,1.0,True,3,3,True,True,True,False,True,0.75,0.75,generated
case_000602,case_000602,1,False,guard_weaken,guard_weaken,,1.0,0.833333,0.166667,True,1,1,True,False,False,True,True,1.0,0.166667,source
case_000602__ho2,case_000602,2,True,guard_weaken,"guard_weaken,guard_strengthen",1701,1.0,0.833333,0.166667,True,2,2,True,True,True,True,True,1.0,0.166667,generated
case_000602__ho3,case_000602,3,True,guard_weaken,"guard_weaken,guard_strengthen,wrong_initial_state",14280,1.0,0.0,1.0,True,3,3,True,True,True,False,True,0.666667,0.666667,generated
case_000752,case_000752,1,False,missing_transition,missing_transition,,1.0,0.9,0.1,True,1,1,True,False,False,True,True,1.0,0.1,source
case_000752__ho2,case_000752,2,True,missing_transition,"missing_transition,guard_weaken",12404,1.0,0.4,0.6,True,2,2,True,True,True,True,True,1.0,0.6,generated
case_000752__ho3,case_000752,3,True,missing_transition,"missing_transition,wrong_source,guard_weaken",93017,1.0,0.5,0.5,True,3,3,True,True,True,False,True,0.9,0.4,generated
case_000202,case_000202,1,False,action_corruption,action_corruption,,1.0,1.0,0.0,False,0,1,False,False,False,True,False,1.0,0.0,source
case_000202__ho2,case_000202,2,True,action_corruption,"action_corruption,wrong_event",71087,1.0,0.5,0.5,True,1,2,False,False,False,True,True,1.0,0.5,generated
case_000202__ho3,case_000202,3,True,action_corruption,"action_corruption,guard_weaken,guard_strengthen",44562,1.0,0.0,1.0,True,2,3,False,False,False,False,True,0.833333,0.833333,generated
case_000302,case_000302,1,False,duplicate_transition,duplicate_transition,,1.0,1.0,0.0,False,0,1,False,False,False,True,False,1.0,0.0,source
case_000302__ho2,case_000302,2,True,duplicate_transition,"duplicate_transition,guard_weaken",681,1.0,0.95,0.05,True,1,2,False,False,False,True,True,1.0,0.05,generated
case_000302__ho3,case_000302,3,True,duplicate_transition,"duplicate_transition,wrong_event,wrong_source",30276,1.0,0.95,0.05,True,2,3,False,False,False,True,True,1.0,0.05,generated
case_000252,case_000252,1,False,guard_flip,guard_flip,,1.0,0.875,0.125,True,1,1,True,False,False,True,True,1.0,0.125,source
case_000252__ho2,case_000252,2,True,guard_flip,"guard_flip,guard_weaken",82712,1.0,0.75,0.25,True,2,2,True,True,True,True,True,1.0,0.25,generated
case_000252__ho3,case_000252,3,True,guard_flip,"guard_flip,guard_weaken,guard_strengthen",27093,1.0,0.25,0.75,True,3,3,True,True,True,False,True,0.875,0.625,generated
case_000352,case_000352,1,False,wrong_target,wrong_target,,1.0,0.923077,0.076923,True,1,1,True,False,False,False,False,0.923077,0.0,source
case_000352__ho2,case_000352,2,True,wrong_target,"wrong_target,missing_transition",95166,1.0,0.846154,0.153846,True,2,2,True,True,True,False,True,0.923077,0.076923,generated
case_000352__ho3,case_000352,3,True,wrong_target,"wrong_target,guard_weaken,guard_strengthen",3779,1.0,0.846154,0.153846,True,3,3,True,True,True,True,True,1.0,0.153846,generated
case_000452,case_000452,1,False,dead_state_intro,dead_state_intro,,1.0,1.0,0.0,False,0,1,False,False,False,True,False,1.0,0.0,source
case_000452__ho2,case_000452,2,True,dead_state_intro,"dead_state_intro,wrong_event",9559,1.0,0.0,1.0,True,1,2,False,False,False,True,True,1.0,1.0,generated
case_000452__ho3,case_000452,3,True,dead_state_intro,"dead_state_intro,guard_weaken,guard_strengthen",90906,1.0,0.0,1.0,True,2,3,False,False,False,True,True,1.0,1.0,generated
case_000552,case_000552,1,False,unreachable_state_intro,unreachable_state_intro,,1.0,1.0,0.0,False,0,1,False,False,False,True,False,1.0,0.0,source
case_000552__ho2,case_000552,2,True,unreachable_state_intro,"unreachable_state_intro,guard_weaken",38561,1.0,0.0,1.0,True,1,2,False,False,False,True,True,1.0,1.0,generated
case_000552__ho3,case_000552,3,True,unreachable_state_intro,"unreachable_state_intro,wrong_event,wrong_source",53340,1.0,0.0,1.0,True,2,3,False,False,False,True,True,1.0,1.0,generated
case_000402,case_000402,1,False,wrong_initial_state,wrong_initial_state,,1.0,0.0,1.0,True,1,1,True,False,False,True,True,1.0,1.0,source
case_000402__ho2,case_000402,2,True,wrong_initial_state,"wrong_initial_state,missing_transition",40560,1.0,0.0,1.0,True,2,2,True,True,True,True,True,1.0,1.0,generated
case_000402__ho3,case_000402,3,True,wrong_initial_state,"wrong_initial_state,wrong_event,wrong_source",41453,1.0,0.0,1.0,True,3,3,True,True,True,True,True,1.0,1.0,generated
case_000502,case_000502,1,False,wrong_target,wrong_target,,1.0,0.0,1.0,True,1,1,True,False,False,False,False,0.0,0.0,source
case_000502__ho2,case_000502,2,True,wrong_target,"wrong_target,guard_strengthen",47430,1.0,0.0,1.0,True,2,2,True,True,True,True,True,1.0,1.0,generated
case_000502__ho3,case_000502,3,True,wrong_target,"wrong_target,guard_strengthen,wrong_initial_state",779,1.0,0.0,1.0,True,3,3,True,True,True,True,True,1.0,1.0,generated
case_000002,case_000002,1,False,missing_transition,missing_transition,,1.0,0.0,1.0,True,1,1,True,False,False,True,True,1.0,1.0,source
case_000052,case_000052,1,False,nondeterminism_intro,nondeterminism_intro,,1.0,1.0,0.0,False,0,1,False,False,False,True,False,1.0,0.0,source
case_000052__ho2,case_000052,2,True,nondeterminism_intro,"nondeterminism_intro,guard_flip",64061,1.0,0.666667,0.333333,True,1,2,False,False,False,False,False,0.666667,0.0,generated
case_000052__ho3,case_000052,3,True,nondeterminism_intro,"nondeterminism_intro,wrong_initial_state,wrong_target",65696,1.0,0.0,1.0,True,2,3,False,False,False,False,True,0.666667,0.666667,generated
case_000152,case_000152,1,False,wrong_event,wrong_event,,1.0,0.0,1.0,True,1,1,True,False,False,True,True,1.0,1.0,source
case_000152__ho2,case_000152,2,True,wrong_event,"wrong_event,wrong_source",72923,1.0,0.0,1.0,True,2,2,True,True,True,True,True,1.0,1.0,generated
case_000152__ho3,case_000152,3,True,wrong_event,"wrong_event,wrong_initial_state,wrong_target",58614,1.0,0.0,1.0,True,3,3,True,True,True,True,True,1.0,1.0,generated
case_000102,case_000102,1,False,wrong_source,wrong_source,,1.0,0.0,1.0,True,1,1,True,False,False,True,True,1.0,1.0,source
case_000102__ho2,case_000102,2,True,wrong_source,"wrong_source,missing_transition",92332,1.0,0.0,1.0,True,2,2,True,True,True,True,True,1.0,1.0,generated
case_000852,case_000852,1,False,delay_corruption,delay_corruption,,1.0,1.0,0.0,False,0,1,False,False,False,True,False,1.0,0.0,source
case_000852__ho2,case_000852,2,True,delay_corruption,"delay_corruption,wrong_source",94481,1.0,0.625,0.375,True,1,2,False,False,False,True,True,1.0,0.375,generated
case_000852__ho3,case_000852,3,True,delay_corruption,"delay_corruption,missing_transition,wrong_event",62380,1.0,0.75,0.25,True,2,3,False,False,False,True,True,1.0,0.25,generated
case_000952,case_000952,1,False,missing_transition,missing_transition,,1.0,0.916667,0.083333,True,1,1,True,False,False,True,True,1.0,0.083333,source
case_000952__ho2,case_000952,2,True,missing_transition,"missing_transition,wrong_target",16967,1.0,0.416667,0.583333,True,2,2,True,True,True,False,True,0.916667,0.5,generated
case_000952__ho3,case_000952,3,True,missing_transition,"missing_transition,wrong_initial_state,wrong_target",49098,1.0,0.0,1.0,True,3,3,True,True,True,False,True,0.833333,0.833333,generated
case_000802,case_000802,1,False,timeout_corruption,timeout_corruption,,1.0,1.0,0.0,False,0,1,False,False,False,True,False,1.0,0.0,source
case_000802__ho2,case_000802,2,True,timeout_corruption,"timeout_corruption,wrong_event",29718,1.0,0.833333,0.166667,True,1,2,False,False,False,True,True,1.0,0.166667,generated
case_000802__ho3,case_000802,3,True,timeout_corruption,"timeout_corruption,guard_weaken,guard_strengthen",26459,1.0,0.0,1.0,True,2,3,False,False,False,True,True,1.0,1.0,generated
case_000902,case_000902,1,False,wrong_target,wrong_target,,1.0,0.95,0.05,True,1,1,True,False,False,False,False,0.95,0.0,source
case_000902__ho2,case_000902,2,True,wrong_target,"wrong_target,guard_flip",75872,1.0,0.9,0.1,True,2,2,True,True,True,False,True,0.95,0.05,generated
case_000902__ho3,case_000902,3,True,wrong_target,"wrong_target,guard_weaken,guard_strengthen",28733,1.0,0.85,0.15,True,3,3,True,True,True,False,True,0.95,0.1,generated
case_000703,case_000703,1,False,guard_flip,guard_flip,,1.0,0.95,0.05,True,1,1,True,False,False,True,True,1.0,0.05,source
case_000703__ho2,case_000703,2,True,guard_flip,"guard_flip,wrong_source",42181,1.0,0.9,0.1,True,2,2,True,True,True,True,True,1.0,0.1,generated
case_000703__ho3,case_000703,3,True,guard_flip,"guard_flip,wrong_source,guard_weaken",20680,1.0,0.45,0.55,True,3,3,True,True,True,True,True,1.0,0.55,generated
case_000653,case_000653,1,False,guard_strengthen,guard_strengthen,,1.0,0.75,0.25,True,1,1,True,False,False,True,True,1.0,0.25,source
case_000653__ho2,case_000653,2,True,guard_strengthen,"guard_strengthen,missing_transition",90132,1.0,0.5,0.5,True,2,2,True,True,True,True,True,1.0,0.5,generated
case_000653__ho3,case_000653,3,True,guard_strengthen,"guard_strengthen,wrong_event,wrong_source",85625,1.0,0.0,1.0,True,3,3,True,True,True,True,True,1.0,1.0,generated
case_000603,case_000603,1,False,guard_weaken,guard_weaken,,1.0,0.5,0.5,True,1,1,True,False,False,True,True,1.0,0.5,source
case_000603__ho2,case_000603,2,True,guard_weaken,"guard_weaken,wrong_target",26067,1.0,0.0,1.0,True,2,2,True,True,True,False,False,0.0,0.0,generated
case_000603__ho3,case_000603,3,True,guard_weaken,"guard_weaken,wrong_initial_state,wrong_target",50382,1.0,0.0,1.0,True,3,3,True,True,True,False,True,0.5,0.5,generated
case_000753,case_000753,1,False,missing_transition,missing_transition,,1.0,0.5,0.5,True,1,1,True,False,False,True,True,1.0,0.5,source
case_000753__ho2,case_000753,2,True,missing_transition,"missing_transition,wrong_initial_state",21826,1.0,0.0,1.0,True,2,2,True,True,True,False,True,0.9,0.9,generated
case_000753__ho3,case_000753,3,True,missing_transition,"missing_transition,wrong_source,guard_weaken",79583,1.0,0.4,0.6,True,3,3,True,True,True,False,True,0.9,0.5,generated
case_000203,case_000203,1,False,action_corruption,action_corruption,,1.0,1.0,0.0,False,0,1,False,False,False,True,False,1.0,0.0,source
case_000203__ho2,case_000203,2,True,action_corruption,"action_corruption,guard_strengthen",77801,1.0,0.5,0.5,True,1,2,False,False,False,True,True,1.0,0.5,generated
case_000203__ho3,case_000203,3,True,action_corruption,"action_corruption,wrong_target,guard_flip",74116,1.0,0.0,1.0,True,2,3,False,False,False,True,True,1.0,1.0,generated
case_000303,case_000303,1,False,duplicate_transition,duplicate_transition,,1.0,1.0,0.0,False,0,1,False,False,False,True,False,1.0,0.0,source
case_000303__ho2,case_000303,2,True,duplicate_transition,"duplicate_transition,wrong_target",50831,1.0,0.625,0.375,True,1,2,False,False,False,False,False,0.625,0.0,generated
case_000303__ho3,case_000303,3,True,duplicate_transition,"duplicate_transition,guard_strengthen,wrong_initial_state",43346,1.0,0.0,1.0,True,2,3,False,False,False,False,True,0.958333,0.958333,generated
case_000253,case_000253,1,False,guard_flip,guard_flip,,1.0,0.0,1.0,True,1,1,True,False,False,True,True,1.0,1.0,source
case_000253__ho2,case_000253,2,True,guard_flip,"guard_flip,missing_transition",47870,1.0,0.0,1.0,True,2,2,True,True,True,True,True,1.0,1.0,generated
case_000253__ho3,case_000253,3,True,guard_flip,"guard_flip,guard_weaken,guard_strengthen",89763,1.0,0.0,1.0,True,3,3,True,True,True,True,True,1.0,1.0,generated
case_000353,case_000353,1,False,wrong_target,wrong_target,,1.0,0.583333,0.416667,True,1,1,True,False,False,False,False,0.583333,0.0,source
case_000353__ho2,case_000353,2,True,wrong_target,"wrong_target,wrong_event",86872,1.0,0.583333,0.416667,True,2,2,True,True,True,False,False,0.583333,0.0,generated
case_000353__ho3,case_000353,3,True,wrong_target,"wrong_target,guard_weaken,guard_strengthen",83733,1.0,0.833333,0.166667,True,3,3,True,True,True,True,True,1.0,0.166667,generated
case_000453,case_000453,1,False,dead_state_intro,dead_state_intro,,1.0,1.0,0.0,False,0,1,False,False,False,True,False,1.0,0.0,source
case_000453__ho2,case_000453,2,True,dead_state_intro,"dead_state_intro,guard_strengthen",43425,1.0,0.0,1.0,True,1,2,False,False,False,True,True,1.0,1.0,generated
case_000453__ho3,case_000453,3,True,dead_state_intro,"dead_state_intro,wrong_target,guard_flip",96028,1.0,0.0,1.0,True,2,3,False,False,False,True,True,1.0,1.0,generated
case_000553,case_000553,1,False,unreachable_state_intro,unreachable_state_intro,,1.0,1.0,0.0,False,0,1,False,False,False,True,False,1.0,0.0,source
case_000553__ho2,case_000553,2,True,unreachable_state_intro,"unreachable_state_intro,wrong_target",58711,1.0,0.0,1.0,True,1,2,False,False,False,False,False,0.0,0.0,generated
case_000553__ho3,case_000553,3,True,unreachable_state_intro,"unreachable_state_intro,guard_strengthen,wrong_initial_state",93690,1.0,0.0,1.0,True,2,3,False,False,False,True,True,1.0,1.0,generated
case_000403,case_000403,1,False,wrong_initial_state,wrong_initial_state,,1.0,0.0,1.0,True,1,1,True,False,False,True,True,1.0,1.0,source
case_000403__ho2,case_000403,2,True,wrong_initial_state,"wrong_initial_state,guard_flip",11174,1.0,0.0,1.0,True,2,2,True,True,True,True,True,1.0,1.0,generated
case_000403__ho3,case_000403,3,True,wrong_initial_state,"wrong_initial_state,guard_flip,missing_transition",66859,1.0,0.0,1.0,True,3,3,True,True,True,True,True,1.0,1.0,generated
case_000503,case_000503,1,False,wrong_target,wrong_target,,1.0,0.0,1.0,True,1,1,True,False,False,False,False,0.0,0.0,source
case_000503__ho2,case_000503,2,True,wrong_target,"wrong_target,guard_flip",30832,1.0,0.0,1.0,True,2,2,True,True,True,True,True,1.0,1.0,generated
case_000503__ho3,case_000503,3,True,wrong_target,"wrong_target,wrong_event,wrong_source",20845,1.0,0.0,1.0,True,3,3,True,True,True,True,True,1.0,1.0,generated
case_000003,case_000003,1,False,missing_transition,missing_transition,,1.0,0.0,1.0,True,1,1,True,False,False,True,True,1.0,1.0,source
case_000003__ho2,case_000003,2,True,missing_transition,"missing_transition,wrong_initial_state",42316,1.0,0.0,1.0,True,2,2,True,True,True,True,True,1.0,1.0,generated
case_000053,case_000053,1,False,nondeterminism_intro,nondeterminism_intro,,1.0,1.0,0.0,False,0,1,False,False,False,True,False,1.0,0.0,source
case_000053__ho2,case_000053,2,True,nondeterminism_intro,"nondeterminism_intro,wrong_source",64027,1.0,0.0,1.0,True,1,2,False,False,False,False,False,0.0,0.0,generated
case_000053__ho3,case_000053,3,True,nondeterminism_intro,"nondeterminism_intro,missing_transition,wrong_event",28982,1.0,0.0,1.0,True,2,3,False,False,False,True,True,1.0,1.0,generated
case_000153,case_000153,1,False,wrong_event,wrong_event,,1.0,0.0,1.0,True,1,1,True,False,False,True,True,1.0,1.0,source
case_000153__ho2,case_000153,2,True,wrong_event,"wrong_event,guard_flip",18429,1.0,0.0,1.0,True,2,2,True,True,True,True,True,1.0,1.0,generated
case_000153__ho3,case_000153,3,True,wrong_event,"wrong_event,guard_strengthen,wrong_initial_state",49344,1.0,0.0,1.0,True,3,3,True,True,True,True,True,1.0,1.0,generated
case_000103,case_000103,1,False,wrong_source,wrong_source,,1.0,0.0,1.0,True,1,1,True,False,False,True,True,1.0,1.0,source
case_000103__ho2,case_000103,2,True,wrong_source,"wrong_source,guard_strengthen",41898,1.0,0.0,1.0,True,2,2,True,True,True,True,True,1.0,1.0,generated
case_000103__ho3,case_000103,3,True,wrong_source,"wrong_source,wrong_initial_state,wrong_target",11623,1.0,0.0,1.0,True,3,3,True,True,True,False,False,0.0,0.0,generated
case_000853,case_000853,1,False,delay_corruption,delay_corruption,,1.0,1.0,0.0,False,0,1,False,False,False,True,False,1.0,0.0,source
case_000853__ho2,case_000853,2,True,delay_corruption,"delay_corruption,guard_flip",9799,1.0,0.0,1.0,True,1,2,False,False,False,True,True,1.0,1.0,generated
case_000853__ho3,case_000853,3,True,delay_corruption,"delay_corruption,wrong_initial_state,wrong_target",86602,1.0,0.0,1.0,True,2,3,False,False,False,True,True,1.0,1.0,generated
case_000953,case_000953,1,False,missing_transition,missing_transition,,1.0,0.928571,0.071429,True,1,1,True,False,False,True,True,1.0,0.071429,source
case_000953__ho2,case_000953,2,True,missing_transition,"missing_transition,wrong_target",47633,1.0,0.857143,0.142857,True,2,2,True,True,True,False,True,0.928571,0.071429,generated
case_000953__ho3,case_000953,3,True,missing_transition,"missing_transition,guard_strengthen,wrong_initial_state",79404,1.0,0.0,1.0,True,3,3,True,True,True,False,True,0.928571,0.928571,generated
case_000803,case_000803,1,False,timeout_corruption,timeout_corruption,,1.0,1.0,0.0,False,0,1,False,False,False,True,False,1.0,0.0,source
case_000803__ho2,case_000803,2,True,timeout_corruption,"timeout_corruption,guard_strengthen",10848,1.0,0.833333,0.166667,True,1,2,False,False,False,True,True,1.0,0.166667,generated
case_000803__ho3,case_000803,3,True,timeout_corruption,"timeout_corruption,wrong_target,guard_flip",41821,1.0,0.0,1.0,True,2,3,False,False,False,False,True,0.833333,0.833333,generated
case_000903,case_000903,1,False,wrong_target,wrong_target,,1.0,0.958333,0.041667,True,1,1,True,False,False,False,False,0.958333,0.0,source
