case_id,changed_transition_id,target_ef,target_ep,spectrally_participating,spectrally_absent
case_000359,t402_13,0,0,0,1
case_000363,t406_44,1,0,1,0
case_000364,t407_109,0,0,0,1
case_000365,t408_6,0,0,0,1
case_000369,t412_10,0,0,0,1
case_000370,t413_14,0,0,0,1
case_000371,t414_33,0,0,0,1
case_000378,t421_7,0,0,0,1
case_000382,t425_11,1,0,1,0
case_000383,t426_75,0,0,0,1
case_000384,t427_244,0,0,0,1
case_000388,t431_181,0,0,0,1
case_000389,t432_3,0,0,0,1
case_000390,t433_13,0,0,0,1
case_000401,t444_10,1,0,1,0
case_000402,t445_15,0,0,0,1
case_000403,t446_3,0,0,0,1
case_000407,t450_34,0,0,0,1
case_000408,t451_28,0,0,0,1
case_000409,t452_10,0,0,0,1
case_000420,t463_153,1,0,1,0
case_000421,t464_6,0,0,0,1
case_000422,t465_11,0,0,0,1
case_000426,t469_20,0,0,0,1
case_000427,t470_47,0,0,0,1
case_000428,t471_242,0,0,0,1
case_000435,t478_49,0,0,0,1
case_000439,t482_59,1,0,1,0
case_000440,t483_119,0,0,0,1
case_000441,t484_10,0,0,0,1
case_000445,t488_4,0,0,0,1
case_000446,t489_25,0,0,0,1
case_000447,t490_2,0,0,0,1
case_000458,t501_23,4,0,1,0
case_000459,t502_8,0,0,0,1
case_000460,t503_225,0,0,0,1
case_000464,t507_95,0,0,0,1
case_000465,t508_7,0,0,0,1
case_000466,t509_5,0,0,0,1
case_000477,t520_8,1,0,1,0
case_000478,t521_27,0,0,0,1
case_000479,t522_3,0,0,0,1
case_000483,t526_11,0,0,0,1
case_000484,t527_30,0,0,0,1
case_000485,t528_6,0,0,0,1
case_000496,t539_228,1,0,1,0
case_000497,t540_1,0,0,0,1
case_000498,t541_25,0,0,0,1
case_000502,t545_17,0,0,0,1
case_000503,t546_69,0,0,0,1
case_000504,t547_15,0,0,0,1
case_000515,t558_18,9,0,1,0
case_000516,t559_86,0,0,0,1
case_000517,t560_8,0,0,0,1
case_000521,t564_8,0,0,0,1
case_000522,t565_19,0,0,0,1
case_000523,t566_27,0,0,0,1
case_000534,t577_14,1,0,1,0
case_000535,t578_58,0,0,0,1
case_000536,t579_178,0,0,0,1
case_000540,t583_98,0,0,0,1
case_000541,t584_3,0,0,0,1
case_000542,t585_17,0,0,0,1
case_000553,t596_10,1,0,1,0
case_000554,t597_15,0,0,0,1
case_000555,t598_8,0,0,0,1
case_000559,t602_66,0,0,0,1
case_000560,t603_219,0,0,0,1
case_000561,t604_2,0,0,0,1
case_000572,t615_13,1,0,1,0
case_000573,t616_2,0,0,0,1
case_000574,t617_4,0,0,0,1
case_000578,t621_15,0,0,0,1
case_000579,t622_71,0,0,0,1
case_000580,t623_34,0,0,0,1
case_000587,t630_38,0,0,0,1
case_000591,t634_63,1,0,1,0
case_000592,t635_218,0,0,0,1
case_000593,t636_1,5,0,1,0
case_000597,t640_6,0,0,0,1
case_000598,t641_7,0,0,0,1
case_000599,t642_77,0,0,0,1
case_000606,t649_15,0,0,0,1
case_000610,t653_29,1,0,1,0
case_000611,t654_44,0,0,0,1
case_000612,t655_103,0,0,0,1
case_000616,t659_123,0,0,0,1
case_000617,t660_2,0,0,0,1
case_000618,t661_15,0,0,0,1
case_000629,t672_11,1,0,1,0
case_000630,t673_6,0,0,0,1
case_000631,t674_75,0,0,0,1
case_000635,t678_21,0,0,0,1
case_000636,t679_173,0,0,0,1
case_000637,t680_1,0,0,0,1
case_000644,t687_118,0,0,0,1
case_000648,t691_143,6,0,1,0
case_000649,t692_8,1,0,1,0
case_000650,t693_8,1,0,1,0
case_000654,t697_16,0,0,0,1
case_000655,t698_27,0,0,0,1
case_000656,t699_107,0,0,0,1
case_000667,t710_33,1,0,1,0
case_000668,t711_165,0,0,0,1
case_000669,t712_3,0,0,0,1
case_000673,t716_10,0,0,0,1
case_000674,t717_4,0,0,0,1
case_000675,t718_58,0,0,0,1
case_000682,t725_18,0,0,0,1
case_000686,t729_18,1,0,1,0
case_000687,t730_32,0,0,0,1
case_000688,t731_56,0,0,0,1
case_000692,t735_229,0,0,0,1
case_000693,t736_7,0,0,0,1
case_000694,t737_11,0,0,0,1
case_000705,t748_4,3,0,1,0
case_000706,t749_17,0,0,0,1
case_000707,t750_47,0,0,0,1
case_000711,t754_48,0,0,0,1
case_000712,t755_129,0,0,0,1
case_000713,t756_5,0,0,0,1
case_000724,t767_204,1,0,1,0
case_000725,t768_1,0,0,0,1
case_000726,t769_8,0,0,0,1
case_000730,t773_6,0,0,0,1
case_000731,t774_59,0,0,0,1
case_000732,t775_123,0,0,0,1
case_000743,t786_1,37,0,1,0
case_000744,t787_2,0,0,0,1
case_000745,t788_5,0,0,0,1
case_000749,t792_2,0,0,0,1
case_000750,t793_29,0,0,0,1
case_000751,t794_29,0,0,0,1
case_000762,t805_7,1,0,1,0
case_000763,t806_53,0,0,0,1
case_000764,t807_33,0,0,0,1
case_000768,t811_2,0,0,0,1
case_000769,t812_7,0,0,0,1
case_000770,t813_15,0,0,0,1
case_000781,t824_6,1,0,1,0
case_000782,t825_20,0,0,0,1
case_000783,t826_56,0,0,0,1
case_000787,t830_8,0,0,0,1
case_000788,t831_117,0,0,0,1
case_000789,t832_5,0,0,0,1
case_000800,t843_54,1,0,1,0
case_000801,t844_1,1,0,1,0
case_000802,t845_25,1,0,1,0
case_000806,t849_1,0,0,0,1
case_000807,t850_45,0,0,0,1
case_000808,t851_21,0,0,0,1
case_000815,t858_20,0,0,0,1
case_000819,t862_57,1,0,1,0
case_000820,t863_248,0,0,0,1
case_000821,t864_2,0,0,0,1
case_000825,t868_8,0,0,0,1
case_000826,t869_12,0,0,0,1
case_000827,t870_29,0,0,0,1
case_000838,t881_18,1,0,1,0
case_000839,t882_14,0,0,0,1
case_000840,t883_8,0,0,0,1
case_000844,t887_51,0,0,0,1
case_000845,t888_2,0,0,0,1
case_000846,t889_10,0,0,0,1
case_000857,t900_2,3,0,1,0
case_000858,t901_21,1,0,1,0
case_000859,t902_21,0,0,0,1
case_000863,t906_29,0,0,0,1
case_000864,t907_24,0,0,0,1
case_000865,t908_8,0,0,0,1
case_000872,t915_120,0,0,0,1
case_000876,t919_219,1,0,1,0
case_000877,t920_9,0,0,0,1
case_000878,t921_6,0,0,0,1
case_000882,t925_9,0,0,0,1
case_000883,t926_50,0,0,0,1
case_000884,t927_60,0,0,0,1
case_000891,t934_61,0,0,0,1
case_000895,t938_70,1,0,1,0
case_000896,t939_37,0,0,0,1
case_000897,t940_2,0,0,0,1
case_000901,t944_5,0,0,0,1
case_000902,t945_18,0,0,0,1
case_000903,t946_52,0,0,0,1
case_000910,t953_12,0,0,0,1
case_000914,t957_20,1,0,1,0
case_000915,t958_7,1,0,1,0
case_000916,t959_104,0,0,0,1
case_000920,t963_207,0,0,0,1
case_000921,t964_1,0,0,0,1
case_000922,t965_2,0,0,0,1
case_000933,t976_2,3,0,1,0
case_000934,t977_30,0,0,0,1
case_000935,t978_39,0,0,0,1
case_000939,t982_35,0,0,0,1
case_000940,t983_33,0,0,0,1
case_000941,t984_8,0,0,0,1
case_000952,t995_135,1,0,1,0
case_000953,t996_12,0,0,0,1
case_000954,t997_9,0,0,0,1
case_000958,t1001_20,0,0,0,1
case_000959,t1002_48,0,0,0,1
case_000960,t1003_219,0,0,0,1
case_000971,t1014_23,1,0,1,0
case_000972,t1015_84,0,0,0,1
case_000973,t1016_11,0,0,0,1
case_000977,t1020_9,0,0,0,1
case_000978,t1021_17,0,0,0,1
case_000979,t1022_1,0,0,0,1
case_000990,t1033_2,7,0,1,0
case_000991,t1034_80,0,0,0,1
case_000992,t1035_89,0,0,0,1
case_000996,t1039_128,0,0,0,1
case_000997,t1040_7,0,0,0,1
case_000998,t1041_3,0,0,0,1
case_001005,t1048_5,0,0,0,1
case_001009,t1052_6,1,0,1,0
case_001010,t1053_31,0,0,0,1
case_001011,t1054_74,0,0,0,1
case_001015,t1058_57,0,0,0,1
case_001016,t1059_65,0,0,0,1
case_001017,t1060_8,0,0,0,1
case_001028,t1071_185,6,0,1,0
case_001029,t1072_6,0,0,0,1
case_001030,t1073_21,0,0,0,1
case_001034,t1077_29,0,0,0,1
case_001035,t1078_47,0,0,0,1
case_001036,t1079_146,0,0,0,1
case_001043,t1086_45,0,0,0,1
case_001047,t1090_56,1,0,1,0
case_001048,t1091_55,0,0,0,1
case_001049,t1092_5,0,0,0,1
case_001053,t1096_7,0,0,0,1
case_001054,t1097_3,0,0,0,1
case_001055,t1098_68,0,0,0,1
case_001066,t1109_9,1,0,1,0
case_001067,t1110_35,0,0,0,1
case_001068,t1111_9,0,0,0,1
case_001072,t1115_167,0,0,0,1
case_001073,t1116_11,0,0,0,1
case_001074,t1117_3,0,0,0,1
case_001085,t1128_3,3,0,1,0
case_001086,t1129_29,0,0,0,1
case_001087,t1130_62,0,0,0,1
case_001091,t1134_8,0,0,0,1
case_001092,t1135_111,0,0,0,1
case_001093,t1136_8,0,0,0,1
case_001104,t1147_71,1,0,1,0
case_001105,t1148_5,0,0,0,1
case_001106,t1149_28,0,0,0,1
case_001110,t1153_30,0,0,0,1
case_001111,t1154_32,0,0,0,1
case_001112,t1155_150,0,0,0,1
case_001123,t1166_50,1,0,1,0
case_001124,t1167_55,1,0,1,0
