case_id,oracle_depth,mutation_operator,size_class,reference_bpr,faulty_bpr,bpr_delta,fault_detected,oracle_state_coverage,oracle_transition_coverage,oracle_event_coverage,scenario_count,max_scenario_steps
case_000706,shallow,guard_flip,tiny,1.0,0.95,0.05,True,1.0,1.0,1.0,12,2
case_000656,shallow,guard_strengthen,tiny,1.0,0.888889,0.111111,True,1.0,1.0,1.0,5,3
case_000606,shallow,guard_weaken,tiny,1.0,0.833333,0.166667,True,1.0,1.0,1.0,4,2
case_000756,shallow,missing_transition,tiny,1.0,0.916667,0.083333,True,1.0,1.0,1.0,6,3
case_000206,shallow,action_corruption,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,3,3
case_000306,shallow,duplicate_transition,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,12,2
case_000256,shallow,guard_flip,tiny,1.0,0.888889,0.111111,True,1.0,1.0,1.0,5,3
case_000356,shallow,wrong_target,tiny,1.0,0.461538,0.538462,True,1.0,1.0,1.0,8,2
case_000456,shallow,dead_state_intro,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,1,1
case_000556,shallow,unreachable_state_intro,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,2,2
case_000406,shallow,wrong_initial_state,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000506,shallow,wrong_target,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000006,shallow,missing_transition,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000056,shallow,nondeterminism_intro,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,1,1
case_000156,shallow,wrong_event,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000106,shallow,wrong_source,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000856,shallow,delay_corruption,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,5,3
case_000956,shallow,missing_transition,tiny,1.0,0.916667,0.083333,True,1.0,1.0,1.0,6,3
case_000806,shallow,timeout_corruption,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,4,2
case_000906,shallow,wrong_target,tiny,1.0,0.95,0.05,True,1.0,1.0,1.0,12,2
case_000707,shallow,guard_flip,tiny,1.0,0.95,0.05,True,1.0,1.0,1.0,12,2
case_000657,shallow,guard_strengthen,tiny,1.0,0.75,0.25,True,1.0,1.0,1.0,3,2
case_000607,shallow,guard_weaken,tiny,1.0,0.833333,0.166667,True,1.0,1.0,1.0,4,2
case_000757,shallow,missing_transition,tiny,1.0,0.5,0.5,True,1.0,1.0,1.0,6,2
case_000207,shallow,action_corruption,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,4,2
case_000307,shallow,duplicate_transition,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,12,2
case_000257,shallow,guard_flip,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000357,shallow,wrong_target,tiny,1.0,0.5,0.5,True,1.0,1.0,1.0,6,2
case_000457,shallow,dead_state_intro,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,1,1
case_000557,shallow,unreachable_state_intro,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,2,2
case_000407,shallow,wrong_initial_state,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000507,shallow,wrong_target,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000007,shallow,missing_transition,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000057,shallow,nondeterminism_intro,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,3,2
case_000157,shallow,wrong_event,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000107,shallow,wrong_source,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000857,shallow,delay_corruption,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,3,2
case_000957,shallow,missing_transition,tiny,1.0,0.916667,0.083333,True,1.0,1.0,1.0,7,2
case_000807,shallow,timeout_corruption,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,4,2
case_000907,shallow,wrong_target,tiny,1.0,0.95,0.05,True,1.0,1.0,1.0,12,2
case_000708,shallow,guard_flip,tiny,1.0,0.95,0.05,True,1.0,1.0,1.0,12,2
case_000658,shallow,guard_strengthen,tiny,1.0,0.875,0.125,True,1.0,1.0,1.0,5,2
case_000608,shallow,guard_weaken,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,3,3
case_000758,shallow,missing_transition,tiny,1.0,0.9,0.1,True,1.0,1.0,1.0,6,2
case_000208,shallow,action_corruption,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,4,2
case_000308,shallow,duplicate_transition,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,12,2
case_000258,shallow,guard_flip,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000358,shallow,wrong_target,tiny,1.0,0.933333,0.066667,True,1.0,1.0,1.0,8,3
case_000458,shallow,dead_state_intro,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,1,1
case_000558,shallow,unreachable_state_intro,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,1,1
case_000408,shallow,wrong_initial_state,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000508,shallow,wrong_target,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000008,shallow,missing_transition,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000058,shallow,nondeterminism_intro,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,1,1
case_000158,shallow,wrong_event,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000108,shallow,wrong_source,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000858,shallow,delay_corruption,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,1,1
case_000958,shallow,missing_transition,tiny,1.0,0.916667,0.083333,True,1.0,1.0,1.0,6,3
case_000808,shallow,timeout_corruption,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,3,3
case_000908,shallow,wrong_target,tiny,1.0,0.95,0.05,True,1.0,1.0,1.0,12,2
case_000709,shallow,guard_flip,tiny,1.0,0.95,0.05,True,1.0,1.0,1.0,12,2
case_000659,shallow,guard_strengthen,tiny,1.0,0.625,0.375,True,1.0,1.0,1.0,5,2
case_000609,shallow,guard_weaken,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,3,3
case_000759,shallow,missing_transition,tiny,1.0,0.916667,0.083333,True,1.0,1.0,1.0,6,3
case_000209,shallow,action_corruption,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,4,2
case_000309,shallow,duplicate_transition,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,12,2
case_000259,shallow,guard_flip,tiny,1.0,0.25,0.75,True,1.0,1.0,1.0,3,2
case_000359,shallow,wrong_target,tiny,1.0,0.923077,0.076923,True,1.0,1.0,1.0,7,3
case_000459,shallow,dead_state_intro,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,1,1
case_000559,shallow,unreachable_state_intro,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,2,2
case_000409,shallow,wrong_initial_state,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000509,shallow,wrong_target,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000009,shallow,missing_transition,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000059,shallow,nondeterminism_intro,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,1,1
case_000159,shallow,wrong_event,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000109,shallow,wrong_source,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000859,shallow,delay_corruption,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,5,3
case_000959,shallow,missing_transition,tiny,1.0,0.416667,0.583333,True,1.0,1.0,1.0,7,2
case_000809,shallow,timeout_corruption,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,4,2
case_000909,shallow,wrong_target,tiny,1.0,0.95,0.05,True,1.0,1.0,1.0,12,2
case_000710,shallow,guard_flip,tiny,1.0,0.55,0.45,True,1.0,1.0,1.0,12,2
case_000660,shallow,guard_strengthen,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000610,shallow,guard_weaken,tiny,1.0,0.833333,0.166667,True,1.0,1.0,1.0,4,2
case_000760,shallow,missing_transition,tiny,1.0,0.9,0.1,True,1.0,1.0,1.0,6,2
case_000210,shallow,action_corruption,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,3,3
case_000310,shallow,duplicate_transition,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,12,2
case_000260,shallow,guard_flip,tiny,1.0,0.25,0.75,True,1.0,1.0,1.0,3,2
case_000360,shallow,wrong_target,tiny,1.0,0.923077,0.076923,True,1.0,1.0,1.0,8,2
case_000460,shallow,dead_state_intro,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,1,1
case_000560,shallow,unreachable_state_intro,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,1,1
case_000410,shallow,wrong_initial_state,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000510,shallow,wrong_target,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000010,shallow,missing_transition,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000060,shallow,nondeterminism_intro,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,3,3
case_000160,shallow,wrong_event,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000110,shallow,wrong_source,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000860,shallow,delay_corruption,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,3,2
case_000960,shallow,missing_transition,tiny,1.0,0.909091,0.090909,True,1.0,1.0,1.0,7,2
case_000810,shallow,timeout_corruption,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,4,2
case_000910,shallow,wrong_target,tiny,1.0,0.95,0.05,True,1.0,1.0,1.0,12,2
case_000701,medium,guard_flip,tiny,1.0,0.55,0.45,True,1.0,1.0,1.0,12,2
case_000651,medium,guard_strengthen,tiny,1.0,0.25,0.75,True,1.0,1.0,1.0,3,2
case_000601,medium,guard_weaken,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,3,3
case_000751,medium,missing_transition,tiny,1.0,0.9,0.1,True,1.0,1.0,1.0,6,2
case_000201,medium,action_corruption,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,4,2
case_000301,medium,duplicate_transition,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,12,2
case_000251,medium,guard_flip,tiny,1.0,0.75,0.25,True,1.0,1.0,1.0,3,2
case_000351,medium,wrong_target,tiny,1.0,0.916667,0.083333,True,1.0,1.0,1.0,7,2
case_000451,medium,dead_state_intro,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,1,1
case_000551,medium,unreachable_state_intro,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,2,2
case_000401,medium,wrong_initial_state,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000501,medium,wrong_target,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000001,medium,missing_transition,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000051,medium,nondeterminism_intro,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,2,2
case_000151,medium,wrong_event,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000101,medium,wrong_source,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000851,medium,delay_corruption,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,3,2
case_000951,medium,missing_transition,tiny,1.0,0.909091,0.090909,True,1.0,1.0,1.0,7,2
case_000801,medium,timeout_corruption,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,4,2
case_000901,medium,wrong_target,tiny,1.0,0.958333,0.041667,True,1.0,1.0,1.0,12,3
case_000702,medium,guard_flip,tiny,1.0,0.95,0.05,True,1.0,1.0,1.0,12,2
case_000652,medium,guard_strengthen,tiny,1.0,0.75,0.25,True,1.0,1.0,1.0,3,2
case_000602,medium,guard_weaken,tiny,1.0,0.833333,0.166667,True,1.0,1.0,1.0,4,2
case_000752,medium,missing_transition,tiny,1.0,0.9,0.1,True,1.0,1.0,1.0,6,2
case_000202,medium,action_corruption,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,3,3
case_000302,medium,duplicate_transition,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,12,2
case_000252,medium,guard_flip,tiny,1.0,0.875,0.125,True,1.0,1.0,1.0,5,2
case_000352,medium,wrong_target,tiny,1.0,0.923077,0.076923,True,1.0,1.0,1.0,8,2
case_000452,medium,dead_state_intro,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,1,1
case_000552,medium,unreachable_state_intro,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,1,1
case_000402,medium,wrong_initial_state,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000502,medium,wrong_target,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000002,medium,missing_transition,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000052,medium,nondeterminism_intro,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,2,2
case_000152,medium,wrong_event,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000102,medium,wrong_source,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000852,medium,delay_corruption,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,5,2
case_000952,medium,missing_transition,tiny,1.0,0.916667,0.083333,True,1.0,1.0,1.0,7,2
case_000802,medium,timeout_corruption,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,4,2
case_000902,medium,wrong_target,tiny,1.0,0.95,0.05,True,1.0,1.0,1.0,12,2
case_000703,medium,guard_flip,tiny,1.0,0.95,0.05,True,1.0,1.0,1.0,12,2
case_000653,medium,guard_strengthen,tiny,1.0,0.75,0.25,True,1.0,1.0,1.0,3,2
case_000603,medium,guard_weaken,tiny,1.0,0.5,0.5,True,1.0,1.0,1.0,3,3
case_000753,medium,missing_transition,tiny,1.0,0.5,0.5,True,1.0,1.0,1.0,6,2
case_000203,medium,action_corruption,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,3,3
case_000303,medium,duplicate_transition,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,12,3
case_000253,medium,guard_flip,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000353,medium,wrong_target,tiny,1.0,0.583333,0.416667,True,1.0,1.0,1.0,7,2
case_000453,medium,dead_state_intro,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,1,1
case_000553,medium,unreachable_state_intro,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,1,1
case_000403,medium,wrong_initial_state,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000503,medium,wrong_target,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000003,medium,missing_transition,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000053,medium,nondeterminism_intro,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,1,1
case_000153,medium,wrong_event,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000103,medium,wrong_source,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000853,medium,delay_corruption,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,1,1
case_000953,medium,missing_transition,tiny,1.0,0.928571,0.071429,True,1.0,1.0,1.0,7,3
case_000803,medium,timeout_corruption,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,3,3
case_000903,medium,wrong_target,tiny,1.0,0.958333,0.041667,True,1.0,1.0,1.0,12,3
case_000704,medium,guard_flip,tiny,1.0,0.55,0.45,True,1.0,1.0,1.0,12,2
case_000654,medium,guard_strengthen,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000604,medium,guard_weaken,tiny,1.0,0.5,0.5,True,1.0,1.0,1.0,4,2
case_000754,medium,missing_transition,tiny,1.0,0.916667,0.083333,True,1.0,1.0,1.0,6,3
case_000204,medium,action_corruption,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,3,3
case_000304,medium,duplicate_transition,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,12,2
case_000254,medium,guard_flip,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000354,medium,wrong_target,tiny,1.0,0.5,0.5,True,1.0,1.0,1.0,6,2
case_000454,medium,dead_state_intro,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,2,2
case_000554,medium,unreachable_state_intro,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,1,1
case_000404,medium,wrong_initial_state,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,3,3
case_000504,medium,wrong_target,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000004,medium,missing_transition,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000054,medium,nondeterminism_intro,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,2,2
case_000154,medium,wrong_event,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
