oracle_depth,metric,bucket,count,fraction
medium,mutation_detection_rate,missing_transition,30,1.0
medium,mutation_detection_rate,nondeterminism_intro,0,0.0
medium,mutation_detection_rate,timeout_corruption,0,0.0
medium,mutation_detection_rate,unreachable_state_intro,0,0.0
medium,mutation_detection_rate,wrong_event,10,1.0
medium,mutation_detection_rate,wrong_initial_state,10,1.0
medium,mutation_detection_rate,wrong_source,10,1.0
medium,mutation_detection_rate,wrong_target,30,1.0
deep,state_count,0,200,1.0
deep,transition_count,0,200,1.0
deep,mutation_operator,action_corruption,10,0.05
deep,mutation_operator,action_full_mutation,0,0.0
deep,mutation_operator,dead_state_intro,10,0.05
deep,mutation_operator,delay_corruption,10,0.05
deep,mutation_operator,duplicate_transition,10,0.05
deep,mutation_operator,guard_flip,20,0.1
deep,mutation_operator,guard_inter_class,0,0.0
deep,mutation_operator,guard_strengthen,10,0.05
deep,mutation_operator,guard_weaken,10,0.05
deep,mutation_operator,missing_transition,30,0.15
deep,mutation_operator,nondeterminism_intro,10,0.05
deep,mutation_operator,timed_selective_mutation,0,0.0
deep,mutation_operator,timeout_corruption,10,0.05
deep,mutation_operator,unreachable_state_intro,10,0.05
deep,mutation_operator,variable_intra_class,0,0.0
deep,mutation_operator,wrong_event,10,0.05
deep,mutation_operator,wrong_initial_state,10,0.05
deep,mutation_operator,wrong_source,10,0.05
deep,mutation_operator,wrong_target,30,0.15
deep,difficulty_category,easy,200,1.0
deep,oracle_state_coverage,1.0000,200,1.0
deep,oracle_transition_coverage,1.0000,200,1.0
deep,oracle_event_coverage,1.0000,200,1.0
deep,reference_bpr,1.00,200,1.0
deep,faulty_bpr,0.00,59,0.295
deep,faulty_bpr,0.15,1,0.005
deep,faulty_bpr,0.25,3,0.015
deep,faulty_bpr,0.42,1,0.005
deep,faulty_bpr,0.46,1,0.005
deep,faulty_bpr,0.50,6,0.03
deep,faulty_bpr,0.55,4,0.02
deep,faulty_bpr,0.58,1,0.005
deep,faulty_bpr,0.59,1,0.005
deep,faulty_bpr,0.62,1,0.005
deep,faulty_bpr,0.67,1,0.005
deep,faulty_bpr,0.75,4,0.02
deep,faulty_bpr,0.83,5,0.025
deep,faulty_bpr,0.88,3,0.015
deep,faulty_bpr,0.89,2,0.01
deep,faulty_bpr,0.90,5,0.025
deep,faulty_bpr,0.91,2,0.01
deep,faulty_bpr,0.92,12,0.06
deep,faulty_bpr,0.93,2,0.01
deep,faulty_bpr,0.95,14,0.07
deep,faulty_bpr,0.96,2,0.01
deep,faulty_bpr,1.00,70,0.35
deep,machine_type,efsm,200,1.0
deep,machine_type,mealy,200,1.0
deep,machine_type,moore,200,1.0
deep,machine_type,plain_fsm,200,1.0
deep,machine_type,timed_fsm,200,1.0
deep,mutation_detection_rate,action_corruption,0,0.0
deep,mutation_detection_rate,dead_state_intro,0,0.0
deep,mutation_detection_rate,delay_corruption,0,0.0
deep,mutation_detection_rate,duplicate_transition,0,0.0
deep,mutation_detection_rate,guard_flip,20,1.0
deep,mutation_detection_rate,guard_strengthen,10,1.0
deep,mutation_detection_rate,guard_weaken,10,1.0
deep,mutation_detection_rate,missing_transition,30,1.0
deep,mutation_detection_rate,nondeterminism_intro,0,0.0
deep,mutation_detection_rate,timeout_corruption,0,0.0
deep,mutation_detection_rate,unreachable_state_intro,0,0.0
deep,mutation_detection_rate,wrong_event,10,1.0
deep,mutation_detection_rate,wrong_initial_state,10,1.0
deep,mutation_detection_rate,wrong_source,10,1.0
deep,mutation_detection_rate,wrong_target,30,1.0
