tool_id,tool_label,partition,metric,n_cases,mean,std,min,max,ci95_low,ci95_high,ci_method,seed_count
baseline_oracle_composite,oracle-composite,detectable_only,complete_repair_rate,495,0.674747,0.0,0.674747,0.674747,0.674747,0.674747,single_run,1
baseline_oracle_composite,oracle-composite,detectable_only,effective_repair_rate,495,0.826263,0.0,0.826263,0.826263,0.826263,0.826263,single_run,1
baseline_oracle_composite,oracle-composite,detectable_only,mean_delta_bpr,495,0.153533,0.0,0.153533,0.153533,0.153533,0.153533,single_run,1
baseline_llm_template,llm-template,cohort_wide,detection_rate,1000,0.495,0.0,0.495,0.495,0.495,0.495,single_run,1
baseline_llm_template,llm-template,cohort_wide,complete_repair_rate,1000,0.839,0.0,0.839,0.839,0.839,0.839,single_run,1
baseline_llm_template,llm-template,cohort_wide,effective_repair_rate,1000,0.409,0.0,0.409,0.409,0.409,0.409,single_run,1
baseline_llm_template,llm-template,cohort_wide,mean_delta_bpr,1000,0.075999,0.0,0.075999,0.075999,0.075999,0.075999,single_run,1
baseline_llm_template,llm-template,detectable_only,detection_rate,495,1.0,0.0,1.0,1.0,1.0,1.0,single_run,1
baseline_llm_template,llm-template,detectable_only,complete_repair_rate,495,0.674747,0.0,0.674747,0.674747,0.674747,0.674747,single_run,1
baseline_llm_template,llm-template,detectable_only,effective_repair_rate,495,0.826263,0.0,0.826263,0.826263,0.826263,0.826263,single_run,1
baseline_llm_template,llm-template,detectable_only,mean_delta_bpr,495,0.153533,0.0,0.153533,0.153533,0.153533,0.153533,single_run,1
