case_id,mutation_operator,fo_detected,ho_detected,fo_bpr_delta,ho_bpr_delta,delta_bpr_change_ho_minus_fo,fo_complete_repair,ho_complete_repair,detection_gained_fo_to_ho,repair_complete_lost_fo_to_ho
case_000061,wrong_event,True,True,0.227273,0.272727,0.045453999999999994,True,False,False,True
case_000004,wrong_event,True,True,0.001198,0.261078,0.25988,True,True,False,False
case_000043,wrong_initial_state,True,True,1.0,1.0,0.0,False,False,False,False
case_000062,wrong_initial_state,True,True,1.0,0.283951,-0.7160489999999999,False,False,False,False
case_000005,wrong_initial_state,True,True,1.0,1.0,0.0,False,False,False,False
case_000024,wrong_initial_state,True,True,1.0,1.0,0.0,False,False,False,False
case_000003,wrong_source,True,True,0.004098,0.012295,0.008197,True,False,False,True
case_000022,wrong_source,True,True,0.093333,0.106667,0.013333999999999999,True,False,False,True
case_000041,wrong_source,True,True,0.227273,0.090909,-0.13636399999999999,True,True,False,False
case_000060,wrong_source,True,True,0.012865,0.026901,0.014036000000000002,True,True,False,False
case_000059,wrong_target,True,True,0.004049,1.0,0.995951,False,False,False,False
case_000002,wrong_target,True,True,0.013158,0.118421,0.105263,False,False,False,False
case_000021,wrong_target,True,True,0.038462,0.961538,0.923076,False,False,False,False
case_000040,wrong_target,True,True,0.014049,0.016603,0.002553999999999999,False,False,False,False
case_000087,action_corruption,False,True,0.0,0.008065,0.008065,True,True,True,False
case_000106,action_corruption,False,True,0.0,0.028169,0.028169,True,False,True,True
case_000125,action_corruption,False,True,0.0,1.0,1.0,True,False,True,True
case_000144,action_corruption,False,True,0.0,0.002353,0.002353,True,False,True,True
case_000151,action_full_mutation,False,True,0.0,1.0,1.0,True,False,True,True
case_000094,action_full_mutation,False,True,0.0,1.0,1.0,True,False,True,True
case_000113,action_full_mutation,False,True,0.0,1.0,1.0,True,False,True,True
case_000132,action_full_mutation,False,True,0.0,0.002326,0.002326,True,True,True,False
case_000083,dead_state_intro,False,True,0.0,0.008621,0.008621,True,True,True,False
case_000102,dead_state_intro,False,True,0.0,1.0,1.0,True,False,True,True
case_000121,dead_state_intro,False,True,0.0,0.230769,0.230769,True,True,True,False
case_000140,dead_state_intro,False,True,0.0,1.0,1.0,True,False,True,True
case_000127,delay_corruption,False,True,0.0,0.039062,0.039062,True,True,True,False
case_000146,delay_corruption,False,True,0.0,0.024691,0.024691,True,True,True,False
case_000089,delay_corruption,False,True,0.0,0.090909,0.090909,True,True,True,False
case_000108,delay_corruption,False,True,0.0,0.133333,0.133333,True,False,True,True
case_000139,duplicate_transition,False,True,0.0,0.008197,0.008197,True,False,True,True
case_000082,duplicate_transition,False,True,0.0,1.0,1.0,True,False,True,True
case_000101,duplicate_transition,False,True,0.0,0.227273,0.227273,True,True,True,False
case_000120,duplicate_transition,False,True,0.0,0.084606,0.084606,True,True,True,False
case_000103,guard_flip,True,True,0.004237,1.0,0.995763,True,False,False,True
case_000122,guard_flip,True,True,0.012048,0.036145,0.024096999999999997,True,True,False,False
case_000141,guard_flip,True,True,0.227273,1.0,0.7727269999999999,True,False,False,True
case_000084,guard_flip,True,True,0.013648,0.003722,-0.009926,True,True,False,False
case_000131,guard_inter_class,False,True,0.0,0.008696,0.008696,True,True,True,False
case_000150,guard_inter_class,True,True,0.012346,0.024691,0.012345000000000002,True,True,False,False
case_000093,guard_inter_class,False,True,0.0,1.0,1.0,True,False,True,True
case_000112,guard_inter_class,False,True,0.0,0.01603,0.01603,True,False,True,True
case_000143,guard_strengthen,True,True,0.004274,0.102564,0.09829,True,False,False,True
case_000086,guard_strengthen,True,True,0.011494,0.183908,0.17241399999999998,True,False,False,True
case_000105,guard_strengthen,True,True,0.045455,0.090909,0.045454,True,True,False,False
case_000124,guard_strengthen,True,True,0.001271,0.016518,0.015247000000000002,True,False,False,True
case_000123,guard_weaken,True,True,0.004237,1.0,0.995763,True,False,False,True
case_000142,guard_weaken,True,True,0.012821,0.615385,0.602564,True,False,False,True
case_000085,guard_weaken,True,True,0.041667,0.125,0.08333299999999999,True,True,False,False
case_000104,guard_weaken,True,True,0.030409,1.0,0.969591,True,False,False,True
case_000115,missing_transition,True,True,0.004505,0.04955,0.045044999999999995,True,True,False,False
case_000134,missing_transition,True,True,0.012346,1.0,0.987654,True,False,False,True
case_000077,missing_transition,True,True,0.041667,0.291667,0.25,True,True,False,False
case_000096,missing_transition,True,True,0.001124,1.0,0.998876,True,False,False,True
case_000147,nondeterminism_intro,False,True,0.0,1.0,1.0,True,False,True,True
case_000090,nondeterminism_intro,False,True,0.0,0.08642,0.08642,True,False,True,True
case_000109,nondeterminism_intro,False,True,0.0,0.1,0.1,True,False,True,True
case_000128,nondeterminism_intro,False,True,0.0,0.002421,0.002421,True,True,True,False
case_000107,timeout_corruption,False,True,0.0,0.008621,0.008621,True,True,True,False
case_000126,timeout_corruption,False,True,0.0,0.209877,0.209877,True,True,True,False
case_000145,timeout_corruption,False,True,0.0,0.095238,0.095238,True,True,True,False
case_000088,timeout_corruption,False,True,0.0,0.002395,0.002395,True,True,True,False
case_000091,unreachable_state_intro,False,True,0.0,0.008621,0.008621,True,True,True,False
case_000110,unreachable_state_intro,False,True,0.0,0.024691,0.024691,True,True,True,False
case_000129,unreachable_state_intro,False,True,0.0,0.761905,0.761905,True,True,True,False
case_000148,unreachable_state_intro,False,True,0.0,0.002326,0.002326,True,True,True,False
case_000099,wrong_event,True,True,0.004386,1.0,0.995614,True,False,False,True
case_000118,wrong_event,True,True,0.012821,0.217949,0.205128,True,False,False,True
case_000137,wrong_event,True,True,0.045455,0.272727,0.227272,True,False,False,True
case_000080,wrong_event,True,True,0.001239,1.0,0.998761,True,False,False,True
case_000119,wrong_initial_state,True,True,1.0,1.0,0.0,False,False,False,False
case_000138,wrong_initial_state,True,True,1.0,1.0,0.0,False,False,False,False
case_000081,wrong_initial_state,True,True,1.0,1.0,0.0,False,False,False,False
case_000100,wrong_initial_state,True,True,1.0,1.0,0.0,False,False,False,False
case_000079,wrong_source,True,True,0.008547,0.047009,0.038462,False,True,False,False
case_000098,wrong_source,True,True,0.011905,0.107143,0.095238,True,False,False,True
case_000117,wrong_source,True,True,0.227273,1.0,0.7727269999999999,True,False,False,True
case_000136,wrong_source,True,True,0.002392,0.004785,0.002393,False,False,False,False
case_000135,wrong_target,True,True,0.003876,0.120155,0.116279,False,False,False,False
case_000078,wrong_target,True,True,0.093333,0.12,0.026666999999999996,False,False,False,False
case_000097,wrong_target,True,True,0.208333,0.458333,0.25,False,False,False,False
case_000116,wrong_target,True,True,0.001133,0.003398,0.002265,False,False,False,False
case_000163,action_corruption,False,True,0.0,0.008333,0.008333,True,True,True,False
case_000182,action_corruption,False,True,0.0,0.025641,0.025641,True,True,True,False
case_000201,action_corruption,False,True,0.0,0.083333,0.083333,True,True,True,False
case_000220,action_corruption,False,True,0.0,1.0,1.0,True,False,True,True
case_000227,action_full_mutation,False,True,0.0,1.0,1.0,True,False,True,True
case_000170,action_full_mutation,False,True,0.0,0.487179,0.487179,True,True,True,False
case_000189,action_full_mutation,False,True,0.0,0.52381,0.52381,True,False,True,True
case_000208,action_full_mutation,False,True,0.0,0.014035,0.014035,True,True,True,False
case_000159,dead_state_intro,False,True,0.0,0.008475,0.008475,True,True,True,False
case_000178,dead_state_intro,False,True,0.0,1.0,1.0,True,False,True,True
case_000197,dead_state_intro,False,True,0.0,1.0,1.0,True,False,True,True
case_000216,dead_state_intro,False,True,0.0,1.0,1.0,True,False,True,True
case_000203,delay_corruption,False,True,0.0,0.081081,0.081081,True,False,True,True
case_000222,delay_corruption,False,True,0.0,0.466667,0.466667,True,True,True,False
case_000165,delay_corruption,False,True,0.0,0.090909,0.090909,True,True,True,False
case_000184,delay_corruption,False,True,0.0,0.002413,0.002413,True,True,True,False
case_000215,duplicate_transition,False,True,0.0,0.004167,0.004167,True,True,True,False
case_000158,duplicate_transition,False,True,0.0,1.0,1.0,True,False,True,True
case_000177,duplicate_transition,False,True,0.0,1.0,1.0,True,False,True,True
case_000196,duplicate_transition,False,True,0.0,0.002478,0.002478,True,True,True,False
case_000179,guard_flip,True,True,0.004167,0.0125,0.008333,True,True,False,False
case_000198,guard_flip,True,True,0.012821,0.025641,0.01282,True,True,False,False
case_000217,guard_flip,True,True,0.038462,0.961538,0.923076,True,False,False,True
case_000160,guard_flip,True,True,0.030516,0.003521,-0.026995,True,True,False,False
case_000207,guard_inter_class,True,True,0.004167,1.0,0.995833,True,False,False,True
case_000226,guard_inter_class,False,True,0.0,0.223684,0.223684,True,True,True,False
case_000169,guard_inter_class,True,True,0.227273,1.0,0.7727269999999999,True,False,False,True
case_000188,guard_inter_class,True,True,0.00116,1.0,0.99884,True,False,False,True
case_000219,guard_strengthen,True,True,0.004167,1.0,0.995833,True,False,False,True
case_000162,guard_strengthen,True,True,0.012658,0.227848,0.21519,True,True,False,False
case_000181,guard_strengthen,True,True,0.041667,1.0,0.958333,True,False,False,True
case_000200,guard_strengthen,True,True,0.001277,1.0,0.998723,True,False,False,True
case_000199,guard_weaken,True,True,0.003846,0.011538,0.007691999999999999,True,True,False,False
case_000218,guard_weaken,True,True,0.012048,0.036145,0.024096999999999997,True,True,False,False
case_000161,guard_weaken,True,True,0.227273,1.0,0.7727269999999999,True,False,False,True
case_000180,guard_weaken,True,True,0.001163,0.218605,0.217442,True,True,False,False
case_000191,missing_transition,True,True,0.004386,1.0,0.995614,True,False,False,True
case_000210,missing_transition,True,True,0.013158,0.039474,0.026316000000000003,True,True,False,False
case_000153,missing_transition,True,True,0.791667,1.0,0.208333,True,False,False,True
case_000172,missing_transition,True,True,0.001144,0.049199,0.048055,True,False,False,True
case_000223,nondeterminism_intro,False,True,0.0,0.008734,0.008734,True,True,True,False
case_000166,nondeterminism_intro,False,True,0.0,0.416667,0.416667,True,True,True,False
case_000185,nondeterminism_intro,False,True,0.0,0.083333,0.083333,True,False,True,True
case_000204,nondeterminism_intro,False,True,0.0,0.002392,0.002392,True,False,True,True
case_000183,timeout_corruption,False,True,0.0,0.012295,0.012295,True,False,True,True
case_000202,timeout_corruption,False,True,0.0,0.093023,0.093023,True,True,True,False
case_000221,timeout_corruption,False,True,0.0,0.285714,0.285714,True,True,True,False
case_000164,timeout_corruption,False,True,0.0,0.014118,0.014118,True,True,True,False
case_000167,unreachable_state_intro,False,True,0.0,1.0,1.0,True,False,True,True
case_000186,unreachable_state_intro,False,True,0.0,1.0,1.0,True,False,True,True
case_000205,unreachable_state_intro,False,True,0.0,0.090909,0.090909,True,True,True,False
case_000224,unreachable_state_intro,False,True,0.0,0.014118,0.014118,True,True,True,False
case_000175,wrong_event,True,True,0.004032,0.141129,0.137097,True,True,False,False
case_000194,wrong_event,True,True,0.012658,0.113924,0.101266,True,True,False,False
case_000213,wrong_event,True,True,0.038462,0.5,0.461538,True,False,False,True
case_000156,wrong_event,True,True,0.001176,0.003529,0.002353,True,True,False,False
case_000195,wrong_initial_state,True,True,1.0,1.0,0.0,False,False,False,False
case_000214,wrong_initial_state,True,True,1.0,0.580247,-0.41975300000000004,False,False,False,False
case_000157,wrong_initial_state,True,True,1.0,1.0,0.0,False,False,False,False
case_000176,wrong_initial_state,True,True,1.0,1.0,0.0,False,False,False,False
case_000155,wrong_source,True,True,0.004237,0.139831,0.13559400000000002,True,False,False,True
case_000174,wrong_source,True,True,0.012346,0.037037,0.024691,True,True,False,False
case_000193,wrong_source,True,True,0.041667,0.125,0.08333299999999999,True,False,False,True
case_000212,wrong_source,True,True,0.013953,0.016279,0.002325999999999998,False,False,False,False
case_000211,wrong_target,True,True,0.004098,0.012295,0.008197,False,False,False,False
case_000154,wrong_target,True,True,0.013333,0.04,0.026667000000000003,False,False,False,False
case_000173,wrong_target,True,True,0.047619,0.47619,0.428571,False,True,False,False
case_000192,wrong_target,True,True,0.001203,0.018051,0.016848000000000002,False,False,False,False
case_000239,action_corruption,False,True,0.0,0.008772,0.008772,True,True,True,False
case_000258,action_corruption,False,True,0.0,0.012346,0.012346,True,True,True,False
case_000277,action_corruption,False,True,0.0,0.285714,0.285714,True,False,True,True
case_000296,action_corruption,False,True,0.0,0.002427,0.002427,True,False,True,True
case_000303,action_full_mutation,False,True,0.0,1.0,1.0,True,False,True,True
case_000246,action_full_mutation,False,True,0.0,0.027397,0.027397,True,False,True,True
case_000265,action_full_mutation,False,True,0.0,0.041667,0.041667,True,False,True,True
case_000284,action_full_mutation,False,True,0.0,1.0,1.0,True,False,True,True
case_000235,dead_state_intro,False,True,0.0,0.487903,0.487903,True,False,True,True
case_000254,dead_state_intro,False,True,0.0,1.0,1.0,True,False,True,True
case_000273,dead_state_intro,False,True,0.0,1.0,1.0,True,False,True,True
case_000292,dead_state_intro,False,True,0.0,1.0,1.0,True,False,True,True
case_000279,delay_corruption,False,True,0.0,0.041322,0.041322,True,False,True,True
case_000298,delay_corruption,False,True,0.0,0.025641,0.025641,True,False,True,True
case_000241,delay_corruption,False,True,0.0,0.076923,0.076923,True,False,True,True
case_000260,delay_corruption,False,True,0.0,0.01444,0.01444,True,True,True,False
case_000291,duplicate_transition,False,True,0.0,0.008475,0.008475,True,False,True,True
case_000234,duplicate_transition,False,True,0.0,0.025641,0.025641,True,True,True,False
case_000253,duplicate_transition,False,True,0.0,1.0,1.0,True,False,True,True
case_000272,duplicate_transition,False,True,0.0,0.002407,0.002407,True,True,True,False
case_000255,guard_flip,True,True,0.004444,0.017778,0.013333999999999999,True,False,False,True
case_000274,guard_flip,True,True,0.089744,0.115385,0.025640999999999997,True,False,False,True
case_000293,guard_flip,True,True,0.045455,1.0,0.954545,True,False,False,True
case_000236,guard_flip,True,True,0.00117,0.043275,0.042105000000000004,True,False,False,True
case_000283,guard_inter_class,True,True,0.004219,1.0,0.995781,True,False,False,True
case_000302,guard_inter_class,False,True,0.0,0.316456,0.316456,True,False,True,True
case_000245,guard_inter_class,False,True,0.0,1.0,1.0,True,False,True,True
case_000264,guard_inter_class,False,True,0.0,0.002162,0.002162,True,True,True,False
case_000295,guard_strengthen,True,True,0.0375,0.0125,-0.024999999999999998,True,True,False,False
case_000238,guard_strengthen,True,True,0.08642,0.123457,0.037037,True,False,False,True
case_000257,guard_strengthen,True,True,0.045455,1.0,0.954545,True,False,False,True
case_000276,guard_strengthen,True,True,0.001203,1.0,0.998797,True,False,False,True
case_000275,guard_weaken,True,True,0.00431,0.047414,0.043103999999999996,True,True,False,False
case_000294,guard_weaken,True,True,0.011905,0.178571,0.166666,True,True,False,False
case_000237,guard_weaken,True,True,0.045455,0.136364,0.09090900000000002,True,False,False,True
case_000256,guard_weaken,True,True,0.001163,0.096512,0.095349,True,True,False,False
case_000267,missing_transition,True,True,0.003984,1.0,0.996016,True,False,False,True
case_000286,missing_transition,True,True,0.078652,0.101124,0.022472000000000006,True,True,False,False
case_000229,missing_transition,True,True,0.045455,0.318182,0.272727,True,True,False,False
case_000248,missing_transition,True,True,0.00119,0.003571,0.002381,True,True,False,False
case_000299,nondeterminism_intro,False,True,0.0,0.009302,0.009302,True,True,True,False
case_000242,nondeterminism_intro,False,True,0.0,1.0,1.0,True,False,True,True
case_000261,nondeterminism_intro,False,True,0.0,0.083333,0.083333,True,True,True,False
case_000280,nondeterminism_intro,False,True,0.0,0.031765,0.031765,True,True,True,False
case_000259,timeout_corruption,False,True,0.0,0.008333,0.008333,True,True,True,False
case_000278,timeout_corruption,False,True,0.0,0.604938,0.604938,True,False,True,True
