case_id,mutation_operator,complexity_tier,c1_oracle_detected,c1_faulty_bpr,c1_bpr_delta_pre_repair,c1_initial_bpr,c1_final_bpr,c1_repair_delta_bpr,c1_complete_repair,c1_effective_repair,rq4_fo_fault_detected,rq4_fo_bpr_delta,rq4_fo_complete_repair,rq4_fo_effective_repair,rq4_fo_repair_delta_bpr,rq4_ho_mutation_order,rq4_ho_fault_detected,rq4_ho_bpr_delta,rq4_ho_complete_repair,rq4_ho_effective_repair,rq4_ho_repair_delta_bpr,rq3_transition_localizable,rq3_top1_hit,detection_gained_fo_to_ho,repair_complete_lost_fo_to_ho
case_000009,guard_weaken,small,True,0.7916666666666666,0.20833333333333337,0.7916666666666666,1.0,0.20833333333333337,True,True,True,0.208333,True,True,0.208333,3,True,0.125,False,True,0.083333,True,False,False,True
case_000028,guard_weaken,very_large,True,0.9987546699875467,0.001245330012453305,0.9987546699875467,1.0,0.001245330012453305,True,True,True,0.001245,True,True,0.001245,3,True,1.0,False,True,0.676214,True,False,False,True
case_000039,missing_transition,large,True,0.99609375,0.00390625,0.99609375,1.0,0.00390625,True,True,True,0.003906,True,True,0.003906,3,True,0.089844,True,True,0.089844,False,False,False,False
case_000058,missing_transition,medium,True,0.9879518072289156,0.012048192771084376,0.9879518072289156,1.0,0.012048192771084376,True,True,True,0.012048,True,True,0.012048,3,True,0.216867,True,True,0.216867,False,False,False,False
case_000001,missing_transition,small,True,0.9545454545454546,0.045454545454545414,0.9545454545454546,1.0,0.045454545454545414,True,True,True,0.045455,True,True,0.045455,3,True,1.0,False,True,0.5,False,False,False,True
case_000020,missing_transition,very_large,True,0.925700365408039,0.07429963459196098,0.925700365408039,1.0,0.07429963459196098,True,True,True,0.0743,True,True,0.0743,3,True,0.003654,False,True,0.002436,False,False,False,True
case_000071,nondeterminism_intro,large,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,0.008333,False,True,0.004167,True,False,True,True
case_000014,nondeterminism_intro,medium,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,0.02381,True,True,0.02381,True,False,True,False
case_000033,nondeterminism_intro,small,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,0.25,False,True,0.041667,True,False,True,True
case_000052,nondeterminism_intro,very_large,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,1.0,False,True,0.563095,True,False,True,True
case_000031,timeout_corruption,large,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,0.008734,True,True,0.008734,True,False,True,False
case_000050,timeout_corruption,medium,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,0.025974,True,True,0.025974,True,False,True,False
case_000069,timeout_corruption,small,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,0.192308,False,True,0.153846,True,False,True,True
case_000012,timeout_corruption,very_large,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,0.033251,True,True,0.033251,True,False,True,False
case_000015,unreachable_state_intro,large,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,0.008065,True,True,0.008065,False,False,True,False
case_000034,unreachable_state_intro,medium,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,0.112676,False,True,0.098592,False,False,True,True
case_000053,unreachable_state_intro,small,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,0.095238,True,True,0.095238,False,False,True,False
case_000072,unreachable_state_intro,very_large,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,1.0,False,True,0.465253,False,False,True,True
case_000023,wrong_event,large,True,0.9958677685950413,0.004132231404958664,0.9958677685950413,1.0,0.004132231404958664,True,True,True,0.004132,True,True,0.004132,3,True,0.140496,False,True,0.136364,True,False,False,True
case_000042,wrong_event,medium,True,0.9876543209876543,0.012345679012345734,0.9876543209876543,0.9876543209876543,0.0,False,False,True,0.012346,True,True,0.012346,3,True,0.17284,False,True,0.160494,True,False,False,True
case_000061,wrong_event,small,True,0.7727272727272727,0.2272727272727273,0.7727272727272727,0.7727272727272727,0.0,False,False,True,0.227273,True,True,0.227273,3,True,0.272727,False,True,0.045455,True,False,False,True
case_000004,wrong_event,very_large,True,0.9988023952095808,0.0011976047904191933,0.9988023952095808,0.9988023952095808,0.0,False,False,True,0.001198,True,True,0.001198,3,True,0.261078,True,True,0.261078,True,False,False,False
case_000043,wrong_initial_state,large,True,0.0,1.0,0.0,0.8647540983606558,0.8647540983606558,False,True,True,1.0,False,True,0.864754,3,True,1.0,False,True,0.82377,False,False,False,False
case_000062,wrong_initial_state,medium,True,0.0,1.0,0.0,0.2839506172839506,0.2839506172839506,False,True,True,1.0,False,True,0.283951,3,True,0.283951,False,True,0.271605,False,False,False,False
case_000005,wrong_initial_state,small,True,0.0,1.0,0.0,0.0,0.0,False,False,True,1.0,False,False,0.0,3,True,1.0,False,True,0.454545,False,False,False,False
case_000024,wrong_initial_state,very_large,True,0.0,1.0,0.0,0.694829760403531,0.694829760403531,False,True,True,1.0,False,True,0.69483,3,True,1.0,False,True,0.509458,False,False,False,False
case_000003,wrong_source,large,True,0.9959016393442623,0.004098360655737654,0.9959016393442623,0.9959016393442623,0.0,False,False,True,0.004098,True,True,0.004098,3,True,0.012295,False,True,0.008197,True,False,False,True
case_000022,wrong_source,medium,True,0.9066666666666666,0.09333333333333338,0.9066666666666666,0.9066666666666666,0.0,False,False,True,0.093333,True,True,0.093333,3,True,0.106667,False,True,0.093333,True,False,False,True
case_000041,wrong_source,small,True,0.7727272727272727,0.2272727272727273,0.7727272727272727,0.7727272727272727,0.0,False,False,True,0.227273,True,True,0.227273,3,True,0.090909,True,True,0.090909,True,False,False,False
case_000060,wrong_source,very_large,True,0.9871345029239766,0.012865497076023358,0.9871345029239766,0.9871345029239766,0.0,False,False,True,0.012865,True,True,0.012865,3,True,0.026901,True,True,0.026901,True,False,False,False
case_000059,wrong_target,large,True,0.9959514170040485,0.004048582995951455,0.9959514170040485,0.9959514170040485,0.0,False,False,True,0.004049,False,False,0.0,3,True,1.0,False,True,0.08502,True,True,False,False
case_000002,wrong_target,medium,True,0.9868421052631579,0.013157894736842146,0.9868421052631579,0.9868421052631579,0.0,False,False,True,0.013158,False,False,0.0,3,True,0.118421,False,True,0.026316,True,True,False,False
case_000021,wrong_target,small,True,0.9615384615384616,0.038461538461538436,0.9615384615384616,0.9615384615384616,0.0,False,False,True,0.038462,False,False,0.0,3,True,0.961538,False,True,0.884615,True,True,False,False
case_000040,wrong_target,very_large,True,0.9859514687100894,0.01404853128991057,0.9859514687100894,0.9859514687100894,0.0,False,False,True,0.014049,False,False,0.0,3,True,0.016603,False,True,0.015326,True,True,False,False
case_000087,action_corruption,large,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,0.008065,True,True,0.008065,True,False,True,False
case_000106,action_corruption,medium,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,0.028169,False,True,0.014085,True,False,True,True
case_000125,action_corruption,small,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,1.0,False,True,0.772727,True,False,True,True
case_000144,action_corruption,very_large,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,0.002353,False,True,0.001176,True,False,True,True
case_000151,action_full_mutation,large,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,1.0,False,True,0.810924,False,False,True,True
case_000094,action_full_mutation,medium,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,1.0,False,True,0.551282,False,False,True,True
case_000113,action_full_mutation,small,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,1.0,False,True,0.238095,False,False,True,True
case_000132,action_full_mutation,very_large,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,0.002326,True,True,0.002326,False,False,True,False
case_000083,dead_state_intro,large,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,0.008621,True,True,0.008621,False,False,True,False
case_000102,dead_state_intro,medium,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,1.0,False,True,0.774648,False,False,True,True
case_000121,dead_state_intro,small,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,0.230769,True,True,0.230769,False,False,True,False
case_000140,dead_state_intro,very_large,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,1.0,False,True,0.853437,False,False,True,True
case_000127,delay_corruption,large,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,0.039062,True,True,0.039062,True,False,True,False
case_000146,delay_corruption,medium,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,0.024691,True,True,0.024691,True,False,True,False
case_000089,delay_corruption,small,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,0.090909,True,True,0.090909,True,False,True,False
case_000108,delay_corruption,very_large,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,0.133333,False,True,0.132143,True,False,True,True
case_000139,duplicate_transition,large,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,0.008197,False,True,0.004098,True,False,True,True
case_000082,duplicate_transition,medium,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,1.0,False,True,0.474359,True,False,True,True
case_000101,duplicate_transition,small,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,0.227273,True,True,0.227273,True,False,True,False
case_000120,duplicate_transition,very_large,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,0.084606,True,True,0.084606,True,False,True,False
case_000103,guard_flip,large,True,0.9957627118644068,0.004237288135593209,0.9957627118644068,1.0,0.004237288135593209,True,True,True,0.004237,True,True,0.004237,3,True,1.0,False,True,0.444915,True,False,False,True
case_000122,guard_flip,medium,True,0.9879518072289156,0.012048192771084376,0.9879518072289156,1.0,0.012048192771084376,True,True,True,0.012048,True,True,0.012048,3,True,0.036145,True,True,0.036145,True,False,False,False
case_000141,guard_flip,small,True,0.7727272727272727,0.2272727272727273,0.7727272727272727,1.0,0.2272727272727273,True,True,True,0.227273,True,True,0.227273,3,True,1.0,False,False,0.0,True,False,False,True
case_000084,guard_flip,very_large,True,0.9863523573200993,0.013647642679900707,0.9863523573200993,1.0,0.013647642679900707,True,True,True,0.013648,True,True,0.013648,3,True,0.003722,True,True,0.003722,True,False,False,False
case_000131,guard_inter_class,large,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,0.008696,True,True,0.008696,True,False,True,False
case_000150,guard_inter_class,medium,True,0.9876543209876543,0.012345679012345734,0.9876543209876543,1.0,0.012345679012345734,True,True,True,0.012346,True,True,0.012346,3,True,0.024691,True,True,0.024691,True,False,False,False
case_000093,guard_inter_class,small,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,1.0,False,True,0.541667,True,False,True,True
case_000112,guard_inter_class,very_large,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,0.01603,False,True,0.014797,True,False,True,True
case_000143,guard_strengthen,large,True,0.9957264957264957,0.004273504273504258,0.9957264957264957,1.0,0.004273504273504258,True,True,True,0.004274,True,True,0.004274,3,True,0.102564,False,True,0.098291,True,False,False,True
case_000086,guard_strengthen,medium,True,0.9885057471264368,0.011494252873563204,0.9885057471264368,1.0,0.011494252873563204,True,True,True,0.011494,True,True,0.011494,3,True,0.183908,False,True,0.172414,True,False,False,True
case_000105,guard_strengthen,small,True,0.9545454545454546,0.045454545454545414,0.9545454545454546,1.0,0.045454545454545414,True,True,True,0.045455,True,True,0.045455,3,True,0.090909,True,True,0.090909,True,False,False,False
case_000124,guard_strengthen,very_large,True,0.9987293519695044,0.0012706480304955914,0.9987293519695044,1.0,0.0012706480304955914,True,True,True,0.001271,True,True,0.001271,3,True,0.016518,False,True,0.002541,True,False,False,True
case_000123,guard_weaken,large,True,0.9957627118644068,0.004237288135593209,0.9957627118644068,1.0,0.004237288135593209,True,True,True,0.004237,True,True,0.004237,3,True,1.0,False,True,0.665254,True,False,False,True
case_000142,guard_weaken,medium,True,0.9871794871794872,0.012820512820512775,0.9871794871794872,1.0,0.012820512820512775,True,True,True,0.012821,True,True,0.012821,3,True,0.615385,False,True,0.602564,True,False,False,True
case_000085,guard_weaken,small,True,0.9583333333333334,0.04166666666666663,0.9583333333333334,1.0,0.04166666666666663,True,True,True,0.041667,True,True,0.041667,3,True,0.125,True,True,0.125,True,False,False,False
case_000104,guard_weaken,very_large,True,0.9695906432748538,0.03040935672514622,0.9695906432748538,1.0,0.03040935672514622,True,True,True,0.030409,True,True,0.030409,3,True,1.0,False,True,0.781287,True,False,False,True
case_000115,missing_transition,large,True,0.9954954954954955,0.0045045045045044585,0.9954954954954955,1.0,0.0045045045045044585,True,True,True,0.004505,True,True,0.004505,3,True,0.04955,True,True,0.04955,False,False,False,False
case_000134,missing_transition,medium,True,0.9876543209876543,0.012345679012345734,0.9876543209876543,1.0,0.012345679012345734,True,True,True,0.012346,True,True,0.012346,3,True,1.0,False,True,0.975309,False,False,False,True
case_000077,missing_transition,small,True,0.9583333333333334,0.04166666666666663,0.9583333333333334,1.0,0.04166666666666663,True,True,True,0.041667,True,True,0.041667,3,True,0.291667,True,True,0.291667,False,False,False,False
case_000096,missing_transition,very_large,True,0.998876404494382,0.0011235955056180247,0.998876404494382,1.0,0.0011235955056180247,True,True,True,0.001124,True,True,0.001124,3,True,1.0,False,True,0.867416,False,False,False,True
case_000147,nondeterminism_intro,large,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,1.0,False,True,0.707424,True,False,True,True
case_000090,nondeterminism_intro,medium,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,0.08642,False,False,0.0,True,False,True,True
case_000109,nondeterminism_intro,small,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,0.1,False,True,0.05,True,False,True,True
case_000128,nondeterminism_intro,very_large,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,0.002421,True,True,0.002421,True,False,True,False
case_000107,timeout_corruption,large,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,0.008621,True,True,0.008621,True,False,True,False
case_000126,timeout_corruption,medium,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,0.209877,True,True,0.209877,True,False,True,False
case_000145,timeout_corruption,small,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,0.095238,True,True,0.095238,True,False,True,False
case_000088,timeout_corruption,very_large,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,0.002395,True,True,0.002395,True,False,True,False
case_000091,unreachable_state_intro,large,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,0.008621,True,True,0.008621,False,False,True,False
case_000110,unreachable_state_intro,medium,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,0.024691,True,True,0.024691,False,False,True,False
case_000129,unreachable_state_intro,small,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,0.761905,True,True,0.761905,False,False,True,False
case_000148,unreachable_state_intro,very_large,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,0.002326,True,True,0.002326,False,False,True,False
case_000099,wrong_event,large,True,0.9956140350877193,0.004385964912280715,0.9956140350877193,1.0,0.004385964912280715,True,True,True,0.004386,True,True,0.004386,3,True,1.0,False,True,0.991228,True,False,False,True
case_000118,wrong_event,medium,True,0.9871794871794872,0.012820512820512775,0.9871794871794872,1.0,0.012820512820512775,True,True,True,0.012821,True,True,0.012821,3,True,0.217949,False,True,0.012821,True,False,False,True
case_000137,wrong_event,small,True,0.9545454545454546,0.045454545454545414,0.9545454545454546,1.0,0.045454545454545414,True,True,True,0.045455,True,True,0.045455,3,True,0.272727,False,True,0.227273,True,False,False,True
case_000080,wrong_event,very_large,True,0.9987608426270136,0.0012391573729864103,0.9987608426270136,1.0,0.0012391573729864103,True,True,True,0.001239,True,True,0.001239,3,True,1.0,False,True,0.703841,True,False,False,True
case_000119,wrong_initial_state,large,True,0.0,1.0,0.0,0.35655737704918034,0.35655737704918034,False,True,True,1.0,False,True,0.356557,3,True,1.0,False,True,0.356557,False,False,False,False
case_000138,wrong_initial_state,medium,True,0.0,1.0,0.0,0.2191780821917808,0.2191780821917808,False,True,True,1.0,False,True,0.219178,3,True,1.0,False,True,0.671233,False,False,False,False
case_000081,wrong_initial_state,small,True,0.0,1.0,0.0,0.47619047619047616,0.47619047619047616,False,True,True,1.0,False,True,0.47619,3,True,1.0,False,True,0.714286,False,False,False,False
case_000100,wrong_initial_state,very_large,True,0.0,1.0,0.0,0.3168674698795181,0.3168674698795181,False,True,True,1.0,False,True,0.316867,3,True,1.0,False,True,0.316867,False,False,False,False
case_000079,wrong_source,large,True,0.9914529914529915,0.008547008547008517,0.9914529914529915,0.9914529914529915,0.0,False,False,True,0.008547,False,True,0.004274,3,True,0.047009,True,True,0.047009,True,True,False,False
case_000098,wrong_source,medium,True,0.9880952380952381,0.011904761904761862,0.9880952380952381,1.0,0.011904761904761862,True,True,True,0.011905,True,True,0.011905,3,True,0.107143,False,True,0.083333,True,False,False,True
case_000117,wrong_source,small,True,0.7727272727272727,0.2272727272727273,0.7727272727272727,1.0,0.2272727272727273,True,True,True,0.227273,True,True,0.227273,3,True,1.0,False,True,0.227273,True,False,False,True
case_000136,wrong_source,very_large,True,0.9976076555023924,0.0023923444976076125,0.9976076555023924,0.9976076555023924,0.0,False,False,True,0.002392,False,True,0.001196,3,True,0.004785,False,True,0.003589,True,True,False,False
case_000135,wrong_target,large,True,0.9961240310077519,0.003875968992248069,0.9961240310077519,0.9961240310077519,0.0,False,False,True,0.003876,False,False,0.0,3,True,0.120155,False,True,0.116279,True,True,False,False
case_000078,wrong_target,medium,True,0.9066666666666666,0.09333333333333338,0.9066666666666666,0.9066666666666666,0.0,False,False,True,0.093333,False,False,0.0,3,True,0.12,False,True,0.013333,True,True,False,False
case_000097,wrong_target,small,True,0.7916666666666666,0.20833333333333337,0.7916666666666666,0.7916666666666666,0.0,False,False,True,0.208333,False,False,0.0,3,True,0.458333,False,True,0.416667,True,True,False,False
case_000116,wrong_target,very_large,True,0.9988674971687429,0.0011325028312570984,0.9988674971687429,0.9988674971687429,0.0,False,False,True,0.001133,False,False,0.0,3,True,0.003398,False,True,0.002265,True,True,False,False
case_000163,action_corruption,large,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,0.008333,True,True,0.008333,True,False,True,False
case_000182,action_corruption,medium,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,0.025641,True,True,0.025641,True,False,True,False
case_000201,action_corruption,small,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,0.083333,True,True,0.083333,True,False,True,False
case_000220,action_corruption,very_large,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,1.0,False,True,0.433749,True,False,True,True
case_000227,action_full_mutation,large,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,1.0,False,True,0.855932,False,False,True,True
case_000170,action_full_mutation,medium,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,0.487179,True,True,0.487179,False,False,True,False
case_000189,action_full_mutation,small,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,0.52381,False,True,0.47619,False,False,True,True
case_000208,action_full_mutation,very_large,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,0.014035,True,True,0.014035,False,False,True,False
case_000159,dead_state_intro,large,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,0.008475,True,True,0.008475,False,False,True,False
case_000178,dead_state_intro,medium,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,1.0,False,True,0.91358,False,False,True,True
case_000197,dead_state_intro,small,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,1.0,False,True,0.954545,False,False,True,True
case_000216,dead_state_intro,very_large,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,1.0,False,True,0.822034,False,False,True,True
case_000203,delay_corruption,large,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,0.081081,False,True,0.040541,True,False,True,True
