case_id,mutation_operator,operator_family,reference_bpr_s0,faulty_bpr_s0,bpr_delta_s0,detected_s0,saturated_s0,reference_bpr_s1,faulty_bpr_s1,bpr_delta_s1,detected_s1,saturated_s1,partition_change,saturation_change,detection_gain,detection_loss
case_000090,nondeterminism_intro,nondeterminism,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000091,unreachable_state_intro,reachability,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000093,guard_inter_class,guard,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000094,action_full_mutation,action,1.0,1.0,0.0,False,True,1.0,0.0,1.0,True,False,True,True,True,False
case_000096,missing_transition,routing,1.0,0.998876,0.001124,True,False,1.0,0.998876,0.001124,True,False,False,False,False,False
case_000097,wrong_target,routing,1.0,0.791667,0.208333,True,False,1.0,0.791667,0.208333,True,False,False,False,False,False
case_000098,wrong_source,routing,1.0,0.988095,0.011905,True,False,1.0,0.988095,0.011905,True,False,False,False,False,False
case_000099,wrong_event,routing,1.0,0.995614,0.004386,True,False,1.0,0.995614,0.004386,True,False,False,False,False,False
case_000100,wrong_initial_state,routing,1.0,0.0,1.0,True,False,1.0,0.0,1.0,True,False,False,False,False,False
case_000101,duplicate_transition,nondeterminism,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000102,dead_state_intro,reachability,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000103,guard_flip,guard,1.0,0.995763,0.004237,True,False,1.0,0.995763,0.004237,True,False,False,False,False,False
case_000104,guard_weaken,guard,1.0,0.969591,0.030409,True,False,1.0,0.969591,0.030409,True,False,False,False,False,False
case_000105,guard_strengthen,guard,1.0,0.954545,0.045455,True,False,1.0,0.954545,0.045455,True,False,False,False,False,False
case_000106,action_corruption,action,1.0,1.0,0.0,False,True,1.0,0.985915,0.014085,True,False,True,True,True,False
case_000107,timeout_corruption,timing,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000108,delay_corruption,timing,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000109,nondeterminism_intro,nondeterminism,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000110,unreachable_state_intro,reachability,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000112,guard_inter_class,guard,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000113,action_full_mutation,action,1.0,1.0,0.0,False,True,1.0,0.0,1.0,True,False,True,True,True,False
case_000115,missing_transition,routing,1.0,0.995495,0.004505,True,False,1.0,0.995495,0.004505,True,False,False,False,False,False
case_000116,wrong_target,routing,1.0,0.998867,0.001133,True,False,1.0,0.998867,0.001133,True,False,False,False,False,False
case_000117,wrong_source,routing,1.0,0.772727,0.227273,True,False,1.0,0.772727,0.227273,True,False,False,False,False,False
case_000118,wrong_event,routing,1.0,0.987179,0.012821,True,False,1.0,0.987179,0.012821,True,False,False,False,False,False
case_000119,wrong_initial_state,routing,1.0,0.0,1.0,True,False,1.0,0.0,1.0,True,False,False,False,False,False
case_000120,duplicate_transition,nondeterminism,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000121,dead_state_intro,reachability,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000122,guard_flip,guard,1.0,0.987952,0.012048,True,False,1.0,0.987952,0.012048,True,False,False,False,False,False
case_000123,guard_weaken,guard,1.0,0.995763,0.004237,True,False,1.0,0.995763,0.004237,True,False,False,False,False,False
case_000124,guard_strengthen,guard,1.0,0.998729,0.001271,True,False,1.0,0.998729,0.001271,True,False,False,False,False,False
case_000125,action_corruption,action,1.0,1.0,0.0,False,True,1.0,0.954545,0.045455,True,False,True,True,True,False
case_000126,timeout_corruption,timing,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000127,delay_corruption,timing,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000128,nondeterminism_intro,nondeterminism,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000129,unreachable_state_intro,reachability,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000131,guard_inter_class,guard,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000132,action_full_mutation,action,1.0,1.0,0.0,False,True,1.0,0.0,1.0,True,False,True,True,True,False
case_000134,missing_transition,routing,1.0,0.987654,0.012346,True,False,1.0,0.987654,0.012346,True,False,False,False,False,False
case_000135,wrong_target,routing,1.0,0.996124,0.003876,True,False,1.0,0.996124,0.003876,True,False,False,False,False,False
case_000136,wrong_source,routing,1.0,0.997608,0.002392,True,False,1.0,0.997608,0.002392,True,False,False,False,False,False
case_000137,wrong_event,routing,1.0,0.954545,0.045455,True,False,1.0,0.954545,0.045455,True,False,False,False,False,False
case_000138,wrong_initial_state,routing,1.0,0.0,1.0,True,False,1.0,0.0,1.0,True,False,False,False,False,False
case_000139,duplicate_transition,nondeterminism,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000140,dead_state_intro,reachability,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000141,guard_flip,guard,1.0,0.772727,0.227273,True,False,1.0,0.772727,0.227273,True,False,False,False,False,False
case_000142,guard_weaken,guard,1.0,0.987179,0.012821,True,False,1.0,0.987179,0.012821,True,False,False,False,False,False
case_000143,guard_strengthen,guard,1.0,0.995726,0.004274,True,False,1.0,0.995726,0.004274,True,False,False,False,False,False
case_000144,action_corruption,action,1.0,1.0,0.0,False,True,1.0,0.998824,0.001176,True,False,True,True,True,False
case_000145,timeout_corruption,timing,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000146,delay_corruption,timing,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000147,nondeterminism_intro,nondeterminism,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000148,unreachable_state_intro,reachability,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000150,guard_inter_class,guard,1.0,0.987654,0.012346,True,False,1.0,0.987654,0.012346,True,False,False,False,False,False
case_000151,action_full_mutation,action,1.0,1.0,0.0,False,True,1.0,0.0,1.0,True,False,True,True,True,False
case_000153,missing_transition,routing,1.0,0.208333,0.791667,True,False,1.0,0.208333,0.791667,True,False,False,False,False,False
case_000154,wrong_target,routing,1.0,0.986667,0.013333,True,False,1.0,0.986667,0.013333,True,False,False,False,False,False
case_000155,wrong_source,routing,1.0,0.995763,0.004237,True,False,1.0,0.995763,0.004237,True,False,False,False,False,False
case_000156,wrong_event,routing,1.0,0.998824,0.001176,True,False,1.0,0.998824,0.001176,True,False,False,False,False,False
case_000157,wrong_initial_state,routing,1.0,0.0,1.0,True,False,1.0,0.0,1.0,True,False,False,False,False,False
case_000158,duplicate_transition,nondeterminism,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000159,dead_state_intro,reachability,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000160,guard_flip,guard,1.0,0.969484,0.030516,True,False,1.0,0.969484,0.030516,True,False,False,False,False,False
case_000161,guard_weaken,guard,1.0,0.772727,0.227273,True,False,1.0,0.772727,0.227273,True,False,False,False,False,False
case_000162,guard_strengthen,guard,1.0,0.987342,0.012658,True,False,1.0,0.987342,0.012658,True,False,False,False,False,False
case_000163,action_corruption,action,1.0,1.0,0.0,False,True,1.0,0.995833,0.004167,True,False,True,True,True,False
case_000164,timeout_corruption,timing,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000165,delay_corruption,timing,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000166,nondeterminism_intro,nondeterminism,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000167,unreachable_state_intro,reachability,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000169,guard_inter_class,guard,1.0,0.772727,0.227273,True,False,1.0,0.772727,0.227273,True,False,False,False,False,False
case_000170,action_full_mutation,action,1.0,1.0,0.0,False,True,1.0,0.0,1.0,True,False,True,True,True,False
case_000172,missing_transition,routing,1.0,0.998856,0.001144,True,False,1.0,0.998856,0.001144,True,False,False,False,False,False
case_000173,wrong_target,routing,1.0,0.952381,0.047619,True,False,1.0,0.952381,0.047619,True,False,False,False,False,False
case_000174,wrong_source,routing,1.0,0.987654,0.012346,True,False,1.0,0.987654,0.012346,True,False,False,False,False,False
case_000175,wrong_event,routing,1.0,0.995968,0.004032,True,False,1.0,0.995968,0.004032,True,False,False,False,False,False
case_000176,wrong_initial_state,routing,1.0,0.0,1.0,True,False,1.0,0.0,1.0,True,False,False,False,False,False
case_000177,duplicate_transition,nondeterminism,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000178,dead_state_intro,reachability,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000179,guard_flip,guard,1.0,0.995833,0.004167,True,False,1.0,0.995833,0.004167,True,False,False,False,False,False
case_000180,guard_weaken,guard,1.0,0.998837,0.001163,True,False,1.0,0.998837,0.001163,True,False,False,False,False,False
case_000181,guard_strengthen,guard,1.0,0.958333,0.041667,True,False,1.0,0.958333,0.041667,True,False,False,False,False,False
case_000182,action_corruption,action,1.0,1.0,0.0,False,True,1.0,0.987179,0.012821,True,False,True,True,True,False
case_000183,timeout_corruption,timing,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000184,delay_corruption,timing,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000185,nondeterminism_intro,nondeterminism,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000186,unreachable_state_intro,reachability,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000188,guard_inter_class,guard,1.0,0.99884,0.00116,True,False,1.0,0.99884,0.00116,True,False,False,False,False,False
case_000189,action_full_mutation,action,1.0,1.0,0.0,False,True,1.0,0.0,1.0,True,False,True,True,True,False
case_000191,missing_transition,routing,1.0,0.995614,0.004386,True,False,1.0,0.995614,0.004386,True,False,False,False,False,False
case_000192,wrong_target,routing,1.0,0.998797,0.001203,True,False,1.0,0.998797,0.001203,True,False,False,False,False,False
case_000193,wrong_source,routing,1.0,0.958333,0.041667,True,False,1.0,0.958333,0.041667,True,False,False,False,False,False
case_000194,wrong_event,routing,1.0,0.987342,0.012658,True,False,1.0,0.987342,0.012658,True,False,False,False,False,False
case_000195,wrong_initial_state,routing,1.0,0.0,1.0,True,False,1.0,0.0,1.0,True,False,False,False,False,False
case_000196,duplicate_transition,nondeterminism,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000197,dead_state_intro,reachability,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000198,guard_flip,guard,1.0,0.987179,0.012821,True,False,1.0,0.987179,0.012821,True,False,False,False,False,False
case_000199,guard_weaken,guard,1.0,0.996154,0.003846,True,False,1.0,0.996154,0.003846,True,False,False,False,False,False
case_000200,guard_strengthen,guard,1.0,0.998723,0.001277,True,False,1.0,0.998723,0.001277,True,False,False,False,False,False
case_000201,action_corruption,action,1.0,1.0,0.0,False,True,1.0,0.958333,0.041667,True,False,True,True,True,False
case_000202,timeout_corruption,timing,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000203,delay_corruption,timing,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000204,nondeterminism_intro,nondeterminism,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000205,unreachable_state_intro,reachability,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000207,guard_inter_class,guard,1.0,0.995833,0.004167,True,False,1.0,0.995833,0.004167,True,False,False,False,False,False
case_000208,action_full_mutation,action,1.0,1.0,0.0,False,True,1.0,0.0,1.0,True,False,True,True,True,False
case_000210,missing_transition,routing,1.0,0.986842,0.013158,True,False,1.0,0.986842,0.013158,True,False,False,False,False,False
case_000211,wrong_target,routing,1.0,0.995902,0.004098,True,False,1.0,0.995902,0.004098,True,False,False,False,False,False
case_000212,wrong_source,routing,1.0,0.986047,0.013953,True,False,1.0,0.986047,0.013953,True,False,False,False,False,False
case_000213,wrong_event,routing,1.0,0.961538,0.038462,True,False,1.0,0.961538,0.038462,True,False,False,False,False,False
case_000214,wrong_initial_state,routing,1.0,0.0,1.0,True,False,1.0,0.0,1.0,True,False,False,False,False,False
case_000215,duplicate_transition,nondeterminism,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000216,dead_state_intro,reachability,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000217,guard_flip,guard,1.0,0.961538,0.038462,True,False,1.0,0.961538,0.038462,True,False,False,False,False,False
case_000218,guard_weaken,guard,1.0,0.987952,0.012048,True,False,1.0,0.987952,0.012048,True,False,False,False,False,False
case_000219,guard_strengthen,guard,1.0,0.995833,0.004167,True,False,1.0,0.995833,0.004167,True,False,False,False,False,False
case_000220,action_corruption,action,1.0,1.0,0.0,False,True,1.0,0.998867,0.001133,True,False,True,True,True,False
case_000221,timeout_corruption,timing,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000222,delay_corruption,timing,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000223,nondeterminism_intro,nondeterminism,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000224,unreachable_state_intro,reachability,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000226,guard_inter_class,guard,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000227,action_full_mutation,action,1.0,1.0,0.0,False,True,1.0,0.0,1.0,True,False,True,True,True,False
case_000229,missing_transition,routing,1.0,0.954545,0.045455,True,False,1.0,0.954545,0.045455,True,False,False,False,False,False
case_000230,wrong_target,routing,1.0,0.987179,0.012821,True,False,1.0,0.987179,0.012821,True,False,False,False,False,False
case_000231,wrong_source,routing,1.0,0.996212,0.003788,True,False,1.0,0.996212,0.003788,True,False,False,False,False,False
case_000232,wrong_event,routing,1.0,0.986858,0.013142,True,False,1.0,0.986858,0.013142,True,False,False,False,False,False
case_000233,wrong_initial_state,routing,1.0,0.238095,0.761905,True,False,1.0,0.0,1.0,True,False,False,False,False,False
case_000234,duplicate_transition,nondeterminism,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000235,dead_state_intro,reachability,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000236,guard_flip,guard,1.0,0.99883,0.00117,True,False,1.0,0.99883,0.00117,True,False,False,False,False,False
case_000237,guard_weaken,guard,1.0,0.954545,0.045455,True,False,1.0,0.954545,0.045455,True,False,False,False,False,False
case_000238,guard_strengthen,guard,1.0,0.91358,0.08642,True,False,1.0,0.91358,0.08642,True,False,False,False,False,False
case_000239,action_corruption,action,1.0,1.0,0.0,False,True,1.0,0.907895,0.092105,True,False,True,True,True,False
case_000240,timeout_corruption,timing,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000241,delay_corruption,timing,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000242,nondeterminism_intro,nondeterminism,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000243,unreachable_state_intro,reachability,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000245,guard_inter_class,guard,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000246,action_full_mutation,action,1.0,1.0,0.0,False,True,1.0,0.0,1.0,True,False,True,True,True,False
case_000248,missing_transition,routing,1.0,0.99881,0.00119,True,False,1.0,0.99881,0.00119,True,False,False,False,False,False
case_000249,wrong_target,routing,1.0,0.954545,0.045455,True,False,1.0,0.954545,0.045455,True,False,False,False,False,False
case_000250,wrong_source,routing,1.0,0.986842,0.013158,True,False,1.0,0.986842,0.013158,True,False,False,False,False,False
case_000251,wrong_event,routing,1.0,0.996094,0.003906,True,False,1.0,0.996094,0.003906,True,False,False,False,False,False
case_000252,wrong_initial_state,routing,1.0,0.0,1.0,True,False,1.0,0.0,1.0,True,False,False,False,False,False
case_000253,duplicate_transition,nondeterminism,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000254,dead_state_intro,reachability,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000255,guard_flip,guard,1.0,0.995556,0.004444,True,False,1.0,0.995556,0.004444,True,False,False,False,False,False
case_000256,guard_weaken,guard,1.0,0.998837,0.001163,True,False,1.0,0.998837,0.001163,True,False,False,False,False,False
case_000257,guard_strengthen,guard,1.0,0.954545,0.045455,True,False,1.0,0.954545,0.045455,True,False,False,False,False,False
case_000258,action_corruption,action,1.0,1.0,0.0,False,True,1.0,0.691358,0.308642,True,False,True,True,True,False
case_000259,timeout_corruption,timing,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000260,delay_corruption,timing,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000261,nondeterminism_intro,nondeterminism,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000262,unreachable_state_intro,reachability,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000264,guard_inter_class,guard,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
